#rho	velocity
0.7967	1.2907
0.7945	1.3005
0.7928	1.3030
0.7915	1.2977
0.7897	1.3002
0.7880	1.2982
0.7868	1.2937
0.7856	1.2918
0.7852	1.2893
0.7847	1.2867
0.7834	1.2922
0.7837	1.2855
0.7846	1.2907
0.6797	1.2697
0.6771	1.2795
0.6744	1.2875
0.6722	1.2915
0.7683	1.1277
0.7656	1.1530
0.7634	1.1602
0.7624	1.1633
0.7598	1.1670
0.7582	1.1747
0.7570	1.1835
0.7559	1.1720
0.7561	1.1547
0.7571	1.1475
0.7579	1.1215
0.7582	1.0860
0.7591	1.0750
0.9135	1.1227
0.9139	1.1252
0.9101	1.1235
0.9084	1.1240
0.9062	1.1225
0.9037	1.1345
0.9039	1.1352
0.9042	1.1407
0.9024	1.1513
0.9009	1.1560
0.8989	1.1608
0.8965	1.1558
0.8953	1.1510
0.8931	1.1492
0.8926	1.1465
0.8936	1.1345
0.8908	1.1360
0.8928	1.1420
0.8902	1.1510
0.8964	1.1633
0.8985	1.1755
0.8811	1.1900
0.8790	1.1842
0.8777	1.1783
0.8765	1.1707
0.8752	1.1740
0.8736	1.1840
0.8706	1.1865
0.8683	1.1852
0.8662	1.1825
0.8634	1.1867
0.8604	1.1890
0.8585	1.1915
0.8565	1.1935
0.8554	1.1905
0.8561	1.1870
0.8564	1.1765
0.8566	1.1807
0.8583	1.1885
0.9686	1.1438
0.9592	1.1462
0.9504	1.1507
0.9419	1.1643
0.9269	1.1748
0.9185	1.1875
0.9112	1.1915
0.9132	1.1935
0.9298	1.1905
0.9310	1.1820
0.9315	1.1755
0.9336	1.1680
0.9351	1.1580
0.9334	1.1485
0.9318	1.1462
0.9317	1.1510
0.9305	1.1670
0.9293	1.1880
0.9279	1.2078
0.9278	1.2267
0.9288	1.2390
0.9307	1.2478
0.9310	1.2535
0.9329	1.2557
0.9895	1.1360
0.9860	1.1328
0.9829	1.1307
0.9823	1.1358
0.9797	1.1455
0.9766	1.1575
0.9772	1.1720
0.9758	1.1937
0.9800	1.2105
0.9799	1.2228
0.9802	1.2365
0.9814	1.2487
0.9852	1.2557
0.9879	1.2630
0.9901	1.2692
0.9914	1.2797
0.9939	1.2857
0.9958	1.2853
0.9972	1.2842
0.9982	1.2908
0.9972	1.2953
0.9977	1.3025
0.9975	1.3070
0.8872	1.1385
0.8799	1.1302
0.8735	1.1242
0.8688	1.1195
0.8651	1.1185
0.8608	1.1317
0.8577	1.1610
0.8559	1.1752
0.8536	1.1962
0.8525	1.2358
0.8506	1.2615
0.8483	1.2945
0.8466	1.3190
0.8457	1.3290
0.8443	1.3513
0.8405	1.3630
0.8382	1.3490
0.8815	1.0752
0.8815	1.0727
0.8804	1.0893
0.8795	1.0865
0.8781	1.1078
0.8809	1.0920
0.8832	1.0847
0.8861	1.0810
0.8872	1.0875
0.8875	1.0823
0.8897	1.0770
0.8902	1.0780
0.8925	1.0645
0.8931	1.0573
0.8926	1.0270
0.8936	1.0475
0.8911	1.0510
0.8896	1.0520
0.8886	1.0462
0.8895	1.0408
0.7438	1.0915
0.7424	1.0943
0.7409	1.0920
0.7398	1.0897
0.7389	1.0917
0.7347	1.0950
0.7343	1.1017
0.7339	1.1068
0.7342	1.1210
0.7348	1.1382
0.7387	1.1558
0.7367	1.1505
0.7355	1.1425
0.7351	1.1292
0.7362	1.1185
0.7363	1.1102
0.7377	1.1110
0.7395	1.1153
0.7403	1.1235
0.7456	1.1425
1.0426	1.0315
1.0375	1.0508
1.0337	1.0667
1.0293	1.0900
1.0238	1.1072
1.0181	1.1165
1.0143	1.1262
1.0107	1.1390
1.0074	1.1390
1.0049	1.1415
1.0031	1.1412
1.0022	1.1425
1.0001	1.1442
0.9972	1.1480
