#rho	velocity
0.9385	0.6410
1.1134	0.5208
1.2057	0.5051
1.2460	0.4545
1.3010	0.4717
1.4451	0.4348
1.6825	0.3968
1.8867	0.3067
2.0085	0.3165
2.0267	0.2825
2.0773	0.2959
2.1403	0.2874
2.1721	0.2793
2.2007	0.3067
2.1342	0.2941
2.0731	0.2618
1.9769	0.2976
1.9463	0.4202
1.9885	0.4673
1.9465	0.4950
1.7627	0.5155
1.5424	0.4902
1.3982	0.4902
1.4244	0.4425
1.4716	0.5000
1.5653	0.4762
1.7082	0.4310
1.7919	0.4274
1.8127	0.3846
1.7900	0.4098
1.6982	0.3521
1.6089	0.3876
1.5518	0.3846
1.5214	0.3521
1.5038	0.3497
1.5637	0.3704
