#rho	velocity
0.1716	1.2522
0.4052	1.3632
0.5347	1.4295
1.0824	1.1528
1.0726	1.1987
0.7554	1.2490
0.7391	1.2710
1.0720	1.1295
0.3484	1.3290
0.1388	1.4220
0.1715	1.2512
0.4066	1.3753
0.5366	1.4070
1.0802	1.1595
1.0662	1.2070
0.7584	1.2522
0.7404	1.2705
1.0680	1.1712
0.3485	1.3248
0.1386	1.4280
0.1714	1.2935
0.4076	1.4248
0.5381	1.4213
1.0814	1.1825
1.0625	1.2100
0.7593	1.2550
0.7417	1.2735
1.0599	1.1995
0.3483	1.3377
0.1386	1.4245
0.1713	1.3173
0.4080	1.4075
0.5385	1.4250
1.0865	1.1630
1.0660	1.2250
0.7546	1.2458
0.7400	1.2815
1.0612	1.2445
0.3485	1.3707
0.1386	1.4200
0.1712	1.3553
0.4094	1.4050
0.5396	1.4478
1.0750	1.1720
1.0639	1.2338
0.7576	1.2667
0.7412	1.2800
1.0560	1.2430
0.3482	1.3745
0.1386	1.4082
0.1713	1.3458
0.4104	1.4265
0.5399	1.4278
1.0731	1.2155
1.0631	1.2247
0.7571	1.2758
0.7427	1.3225
1.0527	1.2710
0.3475	1.4078
0.1386	1.3833
0.1713	1.3445
0.4115	1.3920
0.5405	1.4548
1.0723	1.2070
1.0646	1.2265
0.7550	1.2773
0.7390	1.3230
1.0488	1.2795
0.3482	1.4332
0.1386	1.3850
0.1712	1.3527
0.4122	1.3740
0.5421	1.4560
1.0708	1.1912
1.0613	1.2373
0.7557	1.2670
0.7380	1.3248
1.0406	1.2737
0.3483	1.4515
0.1387	1.3560
0.1712	1.3652
0.4123	1.3768
0.5434	1.4660
1.0684	1.2133
1.0603	1.2197
0.7536	1.3152
0.7330	1.3375
1.0393	1.2523
0.3491	1.4265
0.1388	1.3703
0.1711	1.3690
0.4127	1.3912
0.5456	1.4688
1.0678	1.2138
1.0585	1.2197
0.7550	1.2640
0.7315	1.3648
1.0419	1.2225
0.3490	1.4305
0.1387	1.3680
0.1711	1.3405
0.4123	1.4082
0.5466	1.4547
1.0684	1.2138
1.0505	1.2115
0.7559	1.2628
0.7299	1.3665
1.0468	1.2148
0.3499	1.4392
0.1386	1.3977
0.1708	1.3585
0.4128	1.3958
0.5501	1.4530
1.0641	1.1837
1.0447	1.2025
0.7581	1.2723
0.7285	1.3738
1.0445	1.2010
0.3506	1.4157
0.1386	1.4065
0.1708	1.3582
0.4138	1.4043
0.5511	1.4480
1.0640	1.1985
1.0431	1.2033
0.7585	1.2730
0.7280	1.4005
1.0418	1.1900
0.3507	1.4130
0.1385	1.4003
0.1707	1.3478
0.4136	1.4325
0.5532	1.4380
1.0629	1.2252
1.0399	1.1935
0.7619	1.2847
0.7304	1.4062
1.0353	1.1730
0.3500	1.3665
0.1386	1.4147
0.1707	1.3170
0.4154	1.4400
0.5545	1.4095
1.0635	1.2175
1.0321	1.1955
0.7624	1.2730
0.7341	1.4280
1.0245	1.1803
0.3497	1.3577
0.1385	1.4438
0.1706	1.3363
0.4171	1.4702
0.5544	1.4345
1.0619	1.1967
1.0292	1.1967
0.7626	1.2847
0.7348	1.4120
1.0136	1.2105
0.3499	1.3595
0.1386	1.4850
0.1707	1.3353
0.4188	1.4770
0.5555	1.3987
1.0523	1.1963
1.0272	1.1977
0.7632	1.2652
0.7344	1.4205
1.0055	1.2127
0.3496	1.3720
0.1387	1.4730
0.1707	1.3222
0.4193	1.4963
0.5569	1.4023
1.0540	1.1990
1.0187	1.2090
0.7653	1.2840
0.7366	1.4180
0.9970	1.2330
0.3496	1.4155
0.1387	1.4433
0.1707	1.3340
0.4194	1.4877
0.5582	1.3935
1.0550	1.1872
1.0146	1.2193
0.7665	1.2640
0.7373	1.4290
0.9896	1.2300
0.3495	1.4590
0.1388	1.4138
0.1706	1.3412
0.4205	1.4490
0.5586	1.3997
1.0553	1.1970
1.0089	1.2225
0.7657	1.2723
0.7391	1.4107
0.9877	1.2263
0.3500	1.5105
0.1387	1.3810
0.1705	1.3512
0.4218	1.4363
0.5612	1.4118
1.0487	1.1987
1.0051	1.2235
0.7645	1.2565
0.7356	1.4058
0.9900	1.2085
0.3505	1.5038
0.1387	1.3570
0.1704	1.3365
0.4226	1.4457
0.5625	1.4060
1.0487	1.2330
0.9983	1.2230
0.7642	1.2620
0.7337	1.4237
0.9906	1.1815
0.3516	1.4682
0.1386	1.3075
0.1703	1.3310
0.4242	1.4392
0.5631	1.3790
1.0451	1.2065
0.9996	1.2225
0.7644	1.2480
0.7283	1.3877
0.9981	1.1840
0.3530	1.4095
0.1383	1.3055
0.1704	1.3387
0.4241	1.4607
0.5641	1.3698
1.0459	1.1908
0.9964	1.2275
0.7658	1.2655
0.7272	1.3928
0.9974	1.2015
0.3531	1.3607
0.1383	1.3093
0.1703	1.3405
0.4243	1.4723
0.5656	1.3560
1.0468	1.1900
0.9935	1.2325
0.7678	1.2772
0.7235	1.3898
0.9930	1.2207
0.3539	1.3290
0.1383	1.3040
0.1703	1.3430
0.4255	1.4743
0.5663	1.3277
1.0490	1.1985
0.9920	1.2270
0.7683	1.2705
