#rho	velocity
0.1938	1.0720
0.2490	1.1033
0.3094	1.0098
0.2766	1.1733
0.2242	1.0820
0.1915	0.9973
0.1937	1.0600
0.2487	1.0822
0.3095	0.9998
0.2768	1.1680
0.2241	1.0925
0.1915	0.9980
0.1938	1.0655
0.2486	1.1142
0.3098	1.0090
0.2772	1.1585
0.2239	1.1038
0.1914	0.9980
0.1938	1.0437
0.2490	1.1087
0.3097	0.9930
0.2773	1.1747
0.2239	1.1108
0.1911	1.0083
0.1939	1.0570
0.2485	1.0350
0.3094	0.9990
0.2775	1.2153
0.2240	1.1150
0.1913	1.0187
0.1939	1.0302
0.2488	0.9977
0.3091	1.0190
0.2775	1.2020
0.2241	1.1192
0.1912	1.0145
0.1940	1.0215
0.2482	1.0105
0.3082	0.9917
0.2777	1.2075
0.2245	1.1105
0.1914	1.0085
0.1939	1.0105
0.2483	1.0023
0.3080	0.9975
0.2778	1.2155
0.2247	1.1155
0.1913	1.0005
0.1940	0.9810
0.2478	1.0017
0.3076	0.9970
0.2784	1.2145
0.2249	1.1353
0.1913	0.9710
0.1940	0.9770
0.2468	0.9992
0.3077	0.9940
0.2793	1.2030
0.2248	1.1020
0.1915	0.9818
0.1939	0.9718
0.2465	0.9890
0.3075	1.0062
0.2795	1.2085
0.2251	1.0757
0.1916	0.9773
0.1940	0.9815
0.2463	1.0720
0.3072	1.0347
0.2799	1.2090
0.2250	1.0375
0.1915	0.9880
0.1939	0.9922
0.2460	1.0780
0.3075	1.0173
0.2805	1.2045
0.2250	1.0422
0.1914	0.9575
0.1937	0.9965
0.2464	1.1125
0.3071	1.0342
0.2811	1.1925
0.2255	1.0147
0.1909	0.9955
0.1938	0.9912
0.2460	1.1825
0.3073	1.0562
0.2809	1.1570
0.2253	1.0215
0.1912	1.0112
0.1937	0.9905
0.2461	1.2375
0.3078	1.0678
0.2811	1.1592
0.2251	1.0375
0.1911	1.0245
0.1936	0.9770
0.2465	1.2720
0.3081	1.0885
0.2811	1.1665
0.2250	1.0532
0.1908	1.0363
0.1938	0.9807
0.2467	1.2708
0.3075	1.0795
0.2817	1.1710
0.2252	1.1035
0.1905	1.0535
0.1937	1.0030
0.2469	1.2120
0.3080	1.0735
0.2815	1.1942
0.2250	1.1158
0.1905	1.0857
0.1935	1.0008
0.2471	1.2812
0.3084	1.0960
0.2816	1.1763
0.2251	1.1952
0.1903	1.0700
0.1933	0.9840
0.2475	1.2143
0.3081	1.0855
0.2816	1.1787
0.2255	1.1840
0.1900	1.0369
0.1931	0.9705
0.2476	1.1830
0.3079	1.0790
0.2820	1.1838
0.2258	1.2122
0.1898	1.0127
0.1932	0.9668
0.2472	1.1623
0.3071	1.1027
0.2824	1.2007
0.2262	1.1885
0.1898	1.0572
0.1932	0.9590
0.2466	1.0968
0.3063	1.0943
0.2828	1.2045
0.2266	1.2060
0.1900	1.0094
0.1931	0.9455
0.2473	1.0623
0.3054	1.0933
0.2826	1.1910
0.2273	1.1798
0.1897	1.0074
0.1898	1.0002
0.1929	0.9742
0.2465	1.0730
0.3060	1.0797
0.2833	1.2155
0.2272	1.1327
0.1896	1.0094
