#rho	velocity
0.7213	1.0555
0.7185	0.9428
0.5433	1.0992
0.6770	1.1120
1.1085	0.9170
1.0301	0.8530
0.9823	0.9425
0.4039	1.0167
0.3915	0.9593
0.1746	1.0025
0.1677	1.1302
0.7191	1.0462
0.7191	0.8973
0.5448	1.1305
0.6776	1.0858
1.1114	0.8953
1.0257	0.8668
0.9802	0.9440
0.4043	1.0008
0.3913	0.9457
0.1745	0.9515
0.1677	1.1627
0.7201	1.0390
0.7159	0.8840
0.5467	1.1465
0.6813	1.0973
1.1107	0.8842
1.0246	0.8717
0.9798	0.9598
0.4042	0.9923
0.3903	0.9448
0.1743	0.9183
0.1679	1.1552
0.7204	1.0007
0.7141	0.8568
0.5484	1.1250
0.6819	1.0700
1.1067	0.8730
1.0211	0.8790
0.9796	0.9665
0.4047	0.9837
0.3897	0.9510
0.1741	0.8690
0.1682	1.1223
0.7204	0.9928
0.7109	0.8867
0.5495	1.0888
0.6861	1.0710
1.1033	0.8620
1.0186	0.8935
0.9793	0.9685
0.4055	0.9650
0.3890	0.9760
0.1739	0.8632
0.1683	1.0515
0.7190	0.9740
0.7062	0.8275
0.5518	1.1167
0.6888	1.0695
1.1001	0.8622
1.0172	0.9028
0.9790	0.9545
0.4062	0.9640
0.3895	0.9987
0.1738	0.8433
0.1684	1.0007
0.7141	0.9645
0.6984	0.7680
0.5549	1.0537
0.6891	1.0778
1.0935	0.8527
1.0188	0.9212
0.9808	0.9530
0.4068	0.9565
0.3886	0.9947
0.1737	0.8605
0.1690	0.9630
0.7108	0.9282
0.6950	0.7822
0.5564	1.0575
0.6928	1.0845
1.0891	0.8432
1.0162	0.9130
0.9827	0.9448
0.4072	0.9668
0.3889	1.0055
0.1738	0.8683
0.1690	0.9468
0.7102	0.8815
0.6940	0.8595
0.5567	1.0515
0.6917	1.0875
1.0850	0.8613
1.0163	0.9400
0.9827	0.9415
0.4078	0.9590
0.3892	1.0157
0.1738	0.8850
0.1690	0.9155
0.7115	0.9017
0.6954	0.8757
0.5556	1.0745
0.6921	1.0805
1.0858	0.8615
1.0172	0.9540
0.9782	0.9368
0.4076	0.9800
0.3906	1.0152
0.1738	0.9290
0.1687	0.8785
0.7067	0.8667
0.6943	0.9052
0.5588	1.0800
0.6927	1.0935
1.0862	0.8698
1.0173	0.9413
0.9738	0.9203
0.4078	0.9858
0.3915	1.0045
0.1738	0.9768
0.1686	0.9045
0.7100	0.9213
0.6884	0.9855
0.5570	1.0875
0.6923	1.1160
1.0871	0.8783
1.0183	0.9332
0.9722	0.9125
0.4074	1.0045
0.3922	0.9915
0.1739	0.9838
0.1689	0.8438
0.7069	0.9345
0.6862	0.9952
0.5598	1.0830
0.6976	1.1265
1.0862	0.8767
1.0135	0.9357
0.9683	0.8985
0.4074	1.0160
0.3921	0.9938
0.1739	1.0123
0.1689	0.8437
0.7032	0.9498
0.6916	1.0148
0.5601	1.1240
0.6959	1.1620
1.0874	0.8855
1.0172	0.9185
0.9655	0.8975
0.4071	1.0170
0.3927	0.9685
0.1742	1.0328
0.1685	0.8782
0.7029	0.9530
0.6908	0.9788
0.5627	1.1570
0.6983	1.1900
1.0853	0.8760
1.0133	0.9115
0.9645	0.9028
0.4072	1.0195
0.3932	0.9882
0.1741	1.0405
0.1684	0.8995
0.6976	0.9190
0.6879	0.9612
0.5649	1.1365
0.7035	1.2157
1.0880	0.8660
1.0081	0.9218
0.9631	0.9250
0.4065	1.0205
0.3926	0.9845
0.1744	1.0730
0.1684	0.9280
0.6975	0.9452
0.6859	0.9710
0.5681	1.1730
0.7069	1.2325
1.0854	0.8470
1.0042	0.9013
0.9659	0.9215
0.4075	1.0163
0.3931	0.9930
0.1741	1.0562
0.1682	0.9603
0.6961	0.9330
0.6825	0.9348
0.5695	1.1463
0.7116	1.2177
1.0840	0.8375
0.9999	0.9310
0.9646	0.9307
0.4073	1.0093
0.3935	0.9912
0.1742	1.0663
0.1681	0.9382
0.6930	0.9912
0.6801	0.8588
0.5719	1.1430
0.7158	1.2445
1.0822	0.8302
0.9964	0.8900
0.9692	0.9360
0.4073	1.0085
0.3920	0.9968
0.1743	1.0867
0.1682	0.9505
0.6915	0.9640
0.6755	0.8165
0.5735	1.1210
0.7199	1.2635
1.0796	0.8315
0.9953	0.8975
0.9621	0.9410
0.4069	1.0117
0.3933	1.0173
0.1744	1.0700
0.1683	0.9625
0.6856	1.0205
0.6706	0.8095
0.5762	1.0753
0.7221	1.2530
1.0725	0.8155
0.9973	0.9093
