#rho	velocity
1.3970	0.4712
1.4786	0.4105
1.5214	0.2753
1.2944	0.4922
1.3981	0.4847
1.4877	0.4162
1.5250	0.2925
1.2841	0.4908
1.3992	0.4997
1.4975	0.4217
1.5282	0.3115
1.2772	0.4895
1.4009	0.5175
1.5067	0.4290
1.5298	0.3335
1.2744	0.4968
1.4027	0.5332
1.5158	0.4368
1.5317	0.3560
1.2703	0.5060
1.4052	0.5502
1.5244	0.4463
1.5336	0.3823
1.2656	0.5183
1.4081	0.5643
1.5316	0.4543
1.5343	0.4083
1.2621	0.5318
1.4122	0.5727
1.5379	0.4658
1.2584	0.5465
1.4148	0.5782
1.5440	0.4783
1.2560	0.5597
1.4186	0.5788
1.5503	0.4875
1.2523	0.5683
1.4208	0.5770
1.5559	0.4975
1.2516	0.5738
1.4236	0.5695
1.5601	0.5058
1.2512	0.5695
1.4255	0.5628
1.5608	0.5132
1.2531	0.5638
1.4282	0.5490
1.5607	0.5188
1.2562	0.5520
1.4317	0.5360
1.5593	0.5197
1.2610	0.5390
1.4337	0.5173
1.5579	0.5168
1.2684	0.5247
1.4355	0.5010
1.5535	0.5107
1.2771	0.5112
1.4350	0.4870
1.5500	0.5000
1.2884	0.5003
1.4331	0.4740
1.5450	0.4843
1.2994	0.4913
1.4317	0.4653
1.5423	0.4683
1.3104	0.4850
1.4298	0.4568
1.5378	0.4487
1.3200	0.4808
1.4293	0.4520
1.5363	0.4295
1.3275	0.4820
1.4301	0.4460
1.5349	0.4087
1.3341	0.4885
1.4347	0.4463
1.5357	0.3885
1.3386	0.4965
1.4412	0.4437
1.5365	0.3715
1.3424	0.5075
1.4488	0.4447
1.5385	0.3550
1.3444	0.5155
1.4570	0.4450
1.5406	0.3438
1.3471	0.5223
1.4658	0.4400
1.5442	0.3343
1.3485	0.5247
1.4754	0.4338
1.5500	0.3282
1.3504	0.5240
1.4849	0.4240
1.5582	0.3253
1.3522	0.5207
1.4950	0.4112
1.5670	0.3235
1.3550	0.5142
1.5031	0.3987
1.5783	0.3215
1.3591	0.5058
1.5114	0.3843
1.5873	0.3203
1.3650	0.4945
1.5205	0.3668
1.5967	0.3192
1.3713	0.4838
1.5288	0.3528
1.6045	0.3177
1.3785	0.4690
1.5366	0.3400
1.6115	0.3153
1.3854	0.4567
1.5437	0.3282
1.6177	0.3107
1.3944	0.4450
1.5501	0.3235
1.6221	0.3060
1.4043	0.4335
1.5558	0.3210
1.6240	0.3010
1.4137	0.4252
1.5619	0.3220
1.6265	0.2927
1.4231	0.4210
1.5670	0.3280
1.6276	0.2858
1.2932	0.5155
1.4317	0.4197
1.5721	0.3360
1.6287	0.2792
1.3007	0.5080
1.4385	0.4247
