#rho	velocity
2.3565	0.1655
2.0121	0.1520
2.0756	0.2608
1.9978	0.0620
1.9402	0.1062
2.0296	0.0720
2.3565	0.1643
2.0024	0.1598
2.0831	0.2455
2.0119	0.0628
1.9393	0.1053
2.0131	0.0830
2.3521	0.1625
1.9948	0.1658
2.0927	0.2255
2.0233	0.0640
1.9359	0.1048
2.3505	0.1633
1.9910	0.1715
2.1008	0.2038
2.0313	0.0670
1.9326	0.1045
2.3447	0.1650
1.9889	0.1775
2.1106	0.1823
2.0371	0.0738
1.9279	0.1055
2.3362	0.1670
1.9893	0.1827
2.1202	0.1580
2.0419	0.0835
1.9240	0.1058
2.3256	0.1695
1.9920	0.1877
2.1324	0.1330
2.0448	0.0920
1.9186	0.1067
2.3148	0.1735
1.9960	0.1908
2.1434	0.1140
2.0467	0.1003
1.9150	0.1095
2.3036	0.1772
2.0018	0.1943
2.1535	0.0993
2.0465	0.1065
1.9088	0.1120
2.2931	0.1797
2.0094	0.1953
2.1603	0.0903
2.0448	0.1125
1.9064	0.1153
2.2808	0.1830
2.0194	0.1940
2.1647	0.0847
2.0404	0.1182
1.9042	0.1207
2.2714	0.1838
2.0321	0.1892
2.1697	0.0810
2.0333	0.1260
1.9006	0.1260
2.2609	0.1838
2.0433	0.1845
2.1751	0.0803
2.0270	0.1307
1.8941	0.1307
2.2535	0.1842
2.0549	0.1780
2.1813	0.0817
2.0208	0.1337
1.8871	0.1350
2.2432	0.1848
2.0623	0.1695
2.1870	0.0855
2.0165	0.1335
1.8788	0.1392
2.2354	0.1847
2.0702	0.1620
2.1906	0.0920
2.0123	0.1310
1.8693	0.1418
2.2262	0.1830
2.0771	0.1545
2.1915	0.1015
2.0078	0.1320
1.8617	0.1430
2.2178	0.1810
2.0820	0.1467
2.1939	0.1080
2.0052	0.1352
1.8529	0.1428
2.2090	0.1782
2.0875	0.1405
2.1954	0.1175
2.0028	0.1420
1.8437	0.1428
2.1985	0.1747
2.0929	0.1350
2.1944	0.1240
2.0008	0.1495
1.8364	0.1422
2.1872	0.1703
2.0980	0.1320
2.1942	0.1310
1.9998	0.1565
1.8298	0.1415
2.1746	0.1658
2.1017	0.1290
2.1911	0.1380
1.9996	0.1605
1.8248	0.1415
2.2457	0.0027
2.1612	0.1622
2.1061	0.1275
2.1860	0.1445
1.9988	0.1658
1.8198	0.1413
2.2304	0.0052
2.1464	0.1575
2.1075	0.1272
2.1798	0.1498
2.0004	0.1720
1.8157	0.1395
2.2173	0.0120
2.1322	0.1515
2.1064	0.1282
2.1732	0.1555
2.0018	0.1760
1.8106	0.1377
2.2041	0.0198
2.1189	0.1462
2.1044	0.1280
2.1673	0.1610
2.0038	0.1792
1.8041	0.1362
2.1923	0.0325
2.1095	0.1447
2.1013	0.1285
2.1617	0.1665
2.0050	0.1808
1.7982	0.1345
2.1798	0.0482
2.1015	0.1412
2.0975	0.1283
2.1577	0.1727
2.0078	0.1795
1.7921	0.1322
2.1680	0.0667
2.0960	0.1393
2.0942	0.1282
2.1531	0.1775
2.0111	0.1758
1.7873	0.1307
2.1570	0.0853
2.0916	0.1393
2.0894	0.1288
2.1494	0.1818
2.0151	0.1712
1.7836	0.1285
2.1457	0.1040
2.0883	0.1382
2.0851	0.1295
2.1459	0.1865
2.0198	0.1665
1.7817	0.1272
2.1317	0.1198
2.0875	0.1382
2.0827	0.1298
2.1420	0.1910
2.0255	0.1625
1.7803	0.1255
2.1195	0.1362
2.0890	0.1390
2.0786	0.1295
2.1381	0.1945
2.0317	0.1577
1.7800	0.1245
2.1068	0.1525
2.0912	0.1380
2.0740	0.1285
2.1356	0.2007
2.0385	0.1525
1.7819	0.1233
2.0945	0.1695
2.0934	0.1372
