#rho	velocity
1.0170	1.1170
1.0177	1.1417
1.0182	1.1615
1.0192	1.1825
1.0172	1.1960
1.0147	1.2063
1.0120	1.2190
1.0077	1.2267
1.0029	1.2365
0.9984	1.2443
0.9934	1.2400
0.9893	1.2343
0.9850	1.2437
0.9806	1.2380
0.9764	1.2405
0.9720	1.2470
0.9689	1.2450
0.9653	1.2430
0.9598	1.2357
0.9541	1.2237
0.9493	1.2183
0.9463	1.1995
0.9446	1.1758
0.9447	1.1702
0.9459	1.1675
0.7830	1.0635
0.7768	1.0445
0.7721	1.0370
0.7674	1.0265
0.7640	1.0307
0.7605	1.0485
0.7592	1.0757
0.7576	1.0992
0.7581	1.1100
0.7576	1.1240
0.7571	1.1297
0.7572	1.1360
0.8750	1.1148
0.8733	1.1297
0.8627	1.1340
0.8621	1.1428
0.8621	1.1460
0.8624	1.1507
0.8630	1.1505
0.8636	1.1527
0.8639	1.1510
0.8631	1.1528
0.8630	1.1580
0.8622	1.1595
0.8605	1.1563
0.8591	1.1487
0.8590	1.1395
0.8592	1.1307
0.8593	1.1205
0.8577	1.1128
0.8930	1.1023
0.7896	1.0955
0.7893	1.1102
0.7901	1.1197
0.7911	1.1267
0.7923	1.1305
0.7917	1.1312
0.7924	1.1372
0.7931	1.1397
0.7938	1.1430
0.7958	1.1428
0.7979	1.1663
0.7996	1.1700
0.8015	1.1875
0.8029	1.2023
0.8637	1.2525
0.8571	1.2580
0.8511	1.2567
0.8451	1.2555
0.8408	1.2500
0.8371	1.2402
0.8359	1.2317
0.8793	1.2240
0.8469	1.2150
0.8446	1.2140
0.8426	1.2085
0.8408	1.2140
0.8390	1.2168
0.8372	1.2922
0.8359	1.3665
0.8350	1.3712
0.8344	1.3653
0.8342	1.3707
0.7675	1.2815
0.7643	1.2818
0.7616	1.2865
0.7588	1.2775
0.7559	1.2712
0.7520	1.2602
0.7486	1.2470
0.7454	1.2327
0.7423	1.2330
0.7398	1.2428
1.0509	1.0820
1.0516	1.0893
1.0515	1.1020
1.0517	1.1192
1.0515	1.1370
1.0494	1.1492
1.0488	1.1563
1.0469	1.1545
1.0475	1.1578
1.0463	1.1525
1.0456	1.1458
1.0464	1.1397
1.0456	1.1372
1.0447	1.1295
1.2315	1.2245
1.0433	1.1220
1.2263	1.2422
1.0423	1.1155
1.2200	1.2630
1.0420	1.1092
1.2140	1.2840
1.0428	1.1118
1.2083	1.2977
1.0457	1.1045
1.2047	1.3135
1.0504	1.1020
1.2053	1.3345
1.0588	1.0980
1.2088	1.3473
1.0657	1.0912
1.2141	1.3550
1.0739	1.0892
1.2181	1.3577
1.0799	1.0902
1.2213	1.3473
1.0871	1.0957
1.2266	1.3275
1.0957	1.1128
1.2308	1.3050
1.2294	1.2675
1.2263	1.2500
1.2203	1.2120
1.2120	1.1828
1.2053	1.1547
1.1945	1.1275
1.1882	1.0998
1.1829	1.0842
1.1797	1.0747
1.1750	1.0758
1.1700	1.0945
1.1673	1.1065
1.1632	1.1368
1.1603	1.1570
1.1565	1.1802
1.1542	1.2052
1.1522	1.2307
1.1518	1.2490
1.1509	1.2642
1.1505	1.2712
0.6754	1.1632
0.6746	1.1698
0.6721	1.1647
0.6696	1.1622
0.7871	1.0902
0.7834	1.1110
0.7794	1.1362
0.7762	1.1635
0.7732	1.1913
0.7699	1.2143
0.7683	1.2335
0.7680	1.2488
0.7672	1.2565
0.7669	1.2615
0.7658	1.2642
0.7648	1.2615
0.7643	1.2560
0.7851	0.9755
0.7817	0.9770
0.7779	0.9847
0.7757	0.9843
0.7734	0.9847
0.7695	0.9795
0.7668	0.9845
0.7632	0.9933
0.7591	1.0042
0.7535	1.0155
0.7481	1.0305
0.7427	1.0460
0.7376	1.0625
0.7753	1.0585
0.7743	1.0623
0.7713	1.0668
0.7707	1.0653
0.7675	1.0630
0.7667	1.0595
0.7669	1.0605
0.7675	1.0462
0.7674	1.0328
0.7681	1.0223
0.7684	1.0022
0.7698	0.9992
0.7709	1.0075
0.7562	1.0600
0.7548	1.0635
0.7522	1.0668
0.7516	1.0685
0.7501	1.0697
0.7481	1.0712
0.7467	1.0690
0.7439	1.0673
0.7411	1.0633
0.7380	1.0575
0.7346	1.0537
1.0628	0.9952
1.0582	1.0010
1.0524	1.0177
1.0487	1.0340
1.0433	1.0540
1.0406	1.0720
1.0371	1.0815
1.0348	1.0857
1.0332	1.0920
1.0314	1.0938
1.0293	1.0950
1.0228	1.0930
1.0147	1.0863
1.0065	1.0852
0.9960	1.0825
0.9898	1.0800
0.9855	1.0858
0.9831	1.0895
0.9815	1.0902
0.9803	1.0850
0.9792	1.0777
0.9798	1.0700
0.9811	1.0632
0.9823	1.0592
0.9843	1.0525
0.9861	1.0540
0.9872	1.0515
1.0173	1.1272
0.9880	1.0568
1.0176	1.1260
1.0176	1.1202
1.0156	1.1075
1.0139	1.0987
1.0112	1.0792
1.0081	1.0460
1.0044	1.0282
0.9999	1.0202
0.9977	1.0085
0.9964	0.9930
0.9966	0.9842
0.9977	0.9600
0.9987	0.9408
1.0003	0.9248
1.0008	0.9185
1.0012	0.9290
1.0002	0.9245
0.9997	0.9215
0.9979	0.9210
0.9967	0.9797
0.9952	0.9873
1.0365	1.0705
0.9949	1.0115
1.0379	1.0620
0.9952	1.0412
1.0387	1.0502
0.9959	1.0670
1.0286	1.0342
0.9970	1.0962
1.0279	1.0170
1.0279	0.9970
1.0267	0.9790
1.0264	0.9602
1.0257	0.9425
1.0251	0.9275
1.0265	0.9160
1.0273	0.9100
1.0281	0.9140
1.0279	0.9243
1.0251	0.9398
1.0216	0.9605
1.0156	0.9792
1.0092	0.9978
1.0016	1.0140
0.9949	1.0252
0.9871	1.0313
0.9820	1.0340
0.9770	1.0310
0.9734	1.0250
0.9703	1.0187
0.9679	1.0130
0.9644	1.0120
0.9644	1.0105
0.9641	1.0062
0.9633	0.9992
0.9626	0.9915
0.9612	0.9850
0.9590	0.9837
0.9576	0.9900
0.9561	1.0013
0.9560	1.0195
0.9559	1.0423
0.9557	1.0692
0.9555	1.0992
0.9557	1.1238
0.9553	1.1433
0.9537	1.1573
0.9518	1.1640
0.9496	1.1647
0.9471	1.1622
0.9451	1.1538
0.9419	1.1455
0.9399	1.1363
0.9394	1.1255
0.7196	1.1357
0.7184	1.1352
0.7168	1.1350
0.7156	1.1318
0.7142	1.1250
0.7120	1.1257
0.7117	1.1412
0.7111	1.1583
0.7316	1.1450
0.7305	1.1267
0.7304	1.1170
0.7297	1.1030
0.7298	1.0898
0.7297	1.0790
0.7296	1.0680
0.7289	1.0677
0.7293	1.0780
0.7286	1.0853
1.0153	1.1217
1.0086	1.1320
1.0020	1.1367
0.9966	1.1315
0.9901	1.1390
0.9807	1.1333
0.9769	1.1317
0.9719	1.1282
0.9685	1.1217
0.9689	1.1110
0.9696	1.1047
0.9695	1.0985
0.9710	1.0982
0.9733	1.1085
0.9742	1.1202
0.9764	1.1370
0.9770	1.1495
0.9775	1.1643
1.0013	1.1792
0.9996	1.2000
0.9976	1.2210
1.0765	1.0662
0.9938	1.2370
1.0706	1.0642
0.9897	1.2490
1.0668	1.0570
0.9858	1.2515
1.0633	1.0628
0.9801	1.2543
1.0607	1.0730
0.9790	1.2443
1.0611	1.0792
1.0588	1.0895
1.0584	1.1005
1.0561	1.1140
1.0556	1.1287
1.0549	1.1423
1.0519	1.1480
1.0480	1.1587
1.0447	1.1647
1.0418	1.1705
1.0403	1.1735
1.0389	1.1847
1.0402	1.1900
1.0431	1.2000
1.0440	1.2070
1.0462	1.2050
1.0485	1.2168
1.0460	1.2270
1.0442	1.2335
1.0416	1.2457
1.0365	1.2590
1.0303	1.2705
0.6455	1.0442
