#rho	velocity
0.9555	0.6388
0.9540	0.6415
0.9508	0.6462
0.9506	0.6595
0.9530	0.6765
0.9560	0.6985
0.9587	0.7250
0.9611	0.7525
0.9637	0.7830
0.9671	0.8083
0.9716	0.8285
0.9753	0.8398
0.9791	0.8533
0.9843	0.8540
0.9860	0.8487
0.9904	0.8360
0.9889	0.8127
0.9953	0.7850
0.9987	0.7530
1.0011	0.7217
1.0057	0.6962
1.0102	0.6812
1.0174	0.6637
1.0232	0.6575
1.0304	0.6540
1.0391	0.6535
1.0432	0.6598
1.0492	0.6630
1.0564	0.6603
1.0607	0.6533
1.0647	0.6425
1.0691	0.6252
1.0727	0.6090
1.0707	0.5920
1.0765	0.5778
1.0790	0.5672
1.0817	0.5600
1.0856	0.5630
1.0883	0.5742
1.0908	0.5952
1.0942	0.6248
1.0172	0.7945
1.0982	0.6588
1.0179	0.8078
1.0995	0.6985
1.0188	0.8175
1.1039	0.7410
1.0197	0.8255
1.0217	0.8258
1.0236	0.8258
1.0246	0.8317
1.0258	0.8285
1.0253	0.8227
1.0233	0.8115
1.0186	0.7985
1.0132	0.7880
1.0082	0.7778
1.0044	0.7620
1.0003	0.7458
0.9963	0.7243
0.9923	0.7007
0.9892	0.6780
0.9871	0.6595
0.9862	0.6385
0.9853	0.6188
0.9855	0.5965
0.9872	0.5765
0.9897	0.5653
0.9911	0.5645
0.9925	0.5725
0.9937	0.5870
0.9943	0.6083
0.9948	0.6322
0.9960	0.6607
0.9980	0.6903
1.0008	0.7215
1.0036	0.7457
0.8896	0.8155
0.8904	0.7970
0.8920	0.7797
0.8941	0.7660
0.8970	0.7553
0.9002	0.7445
0.9046	0.7435
0.9071	0.7418
0.9093	0.7535
0.9122	0.7742
0.9132	0.8035
0.9143	0.8382
0.9147	0.8745
0.9145	0.9082
0.9144	0.9320
0.9153	0.9550
0.9165	0.9660
0.9180	0.9770
0.9197	0.9755
0.9226	0.9680
0.9261	0.9527
0.9306	0.9337
0.9338	0.9135
0.9366	0.8905
0.9384	0.8735
0.9391	0.8575
0.9349	0.8480
0.9408	0.8453
0.9337	0.8375
0.9410	0.8330
0.9318	0.8365
0.9315	0.8305
0.9329	0.8445
0.9351	0.8528
0.9380	0.8695
0.9403	0.8882
0.9433	0.9002
0.9472	0.9115
0.9513	0.9200
0.9552	0.9168
0.9593	0.9125
0.9635	0.9055
0.9681	0.8918
0.9730	0.8735
0.9778	0.8518
0.9819	0.8267
0.9838	0.8110
0.9852	0.8038
0.9857	0.7967
0.9847	0.8008
0.9849	0.8040
0.9865	0.8153
0.9899	0.8295
0.9942	0.8498
0.9993	0.8647
1.0041	0.8793
1.0078	0.8872
1.0122	0.8915
1.0174	0.8933
1.0232	0.8925
1.0296	0.8885
0.9615	0.8320
1.0358	0.8760
0.9610	0.8295
0.9588	0.8265
0.9584	0.8250
0.9574	0.8220
0.9585	0.8247
0.9589	0.8245
0.9619	0.8220
0.9649	0.8217
0.9689	0.8202
0.9716	0.8113
0.9746	0.8003
0.9764	0.7877
0.9780	0.7702
0.9803	0.7527
0.9832	0.7328
0.9867	0.7138
0.9904	0.6950
0.9943	0.6787
0.9988	0.6660
1.0042	0.6587
