#rho	velocity
1.6902	0.5785
1.5592	0.4320
1.5757	0.3732
1.9873	0.4192
1.5789	0.5922
1.6523	0.5147
1.9040	0.5158
1.1463	0.4907
0.9758	0.6198
1.3732	0.6415
2.2599	0.2190
1.6128	0.5775
1.4725	0.3740
1.7535	0.3713
1.8563	0.3080
2.1452	0.4547
1.9670	0.2945
1.7764	0.2333
2.2269	0.2838
2.3178	0.3918
1.7833	0.4087
1.8355	0.2545
1.9222	0.3032
1.8896	0.4587
1.7122	0.3920
1.5236	0.4200
1.6141	0.6522
1.7232	0.3608
1.7074	0.5897
1.5578	0.4255
1.5664	0.3757
1.9773	0.4258
1.5758	0.5780
1.6558	0.5230
1.9077	0.5050
1.1417	0.4828
0.9806	0.6285
1.3766	0.6540
2.2454	0.1618
1.6197	0.5760
1.4751	0.3760
1.7582	0.3740
1.8495	0.3080
2.1615	0.4608
1.9800	0.3070
1.7618	0.2293
2.2109	0.2942
2.3635	0.3820
1.7881	0.3827
1.8065	0.2430
1.9146	0.3078
1.8961	0.4610
1.6959	0.4045
1.5299	0.4450
1.6214	0.6725
1.7128	0.3655
1.7195	0.5980
1.5534	0.4193
1.5551	0.4137
1.9654	0.4292
1.5824	0.5632
1.6589	0.5253
1.8947	0.5000
1.1404	0.4778
0.9923	0.6235
1.3780	0.6678
2.2048	0.0958
1.6305	0.5668
1.4814	0.3838
1.7596	0.3707
1.8553	0.3230
2.1708	0.4545
1.9743	0.3040
1.7519	0.2442
2.2114	0.3095
2.3756	0.3570
1.7860	0.3762
1.7997	0.2243
1.9194	0.2977
1.8905	0.4555
1.6694	0.3690
1.5379	0.4685
1.6296	0.6835
1.7088	0.3783
1.7319	0.6033
1.5547	0.4157
1.5516	0.4192
1.9550	0.4327
1.5808	0.5505
1.6617	0.5402
1.8843	0.4788
1.1370	0.4773
1.0039	0.6440
1.3803	0.6583
2.1737	0.0473
1.6412	0.5478
1.4836	0.4058
1.7495	0.3648
1.8565	0.3200
2.1978	0.4425
1.9806	0.3068
1.7443	0.2433
2.2107	0.3515
2.3849	0.3510
1.7835	0.3605
1.7916	0.2077
1.9238	0.2848
1.8882	0.4510
1.6446	0.3420
1.5429	0.4868
1.6339	0.6910
1.7034	0.4025
1.7336	0.5967
1.5581	0.4065
1.5542	0.4397
1.9419	0.4358
1.5934	0.5532
1.6701	0.5597
1.8543	0.4713
1.1292	0.4760
1.0191	0.6550
1.3864	0.6682
2.1272	-0.0133
1.6500	0.5285
1.4888	0.4240
1.7432	0.3587
1.8539	0.3230
2.2339	0.4425
1.9753	0.3130
1.7351	0.2520
2.2119	0.3750
2.3952	0.3437
1.7875	0.3613
1.7770	0.2215
1.9238	0.2592
1.8893	0.4392
1.6254	0.3500
1.5415	0.4997
1.6407	0.6708
1.7017	0.4417
1.7425	0.5872
1.5574	0.4183
1.5539	0.4602
1.9298	0.4550
1.5819	0.5292
1.6801	0.5748
1.8603	0.4635
1.1244	0.4685
1.0346	0.6530
1.3877	0.6715
2.0788	-0.0602
1.6607	0.5050
1.4932	0.4297
1.7406	0.3530
1.8639	0.3198
2.2497	0.4190
1.9577	0.3280
1.7355	0.2590
2.2215	0.3933
2.4225	0.3232
1.7961	0.3422
1.7478	0.2062
1.9174	0.2453
1.8859	0.4285
1.6021	0.3697
1.5431	0.5117
1.6460	0.6367
1.7068	0.4862
1.7552	0.5722
1.5557	0.4237
1.5429	0.4753
1.9207	0.4585
1.5934	0.5335
1.6892	0.5822
1.8426	0.4497
1.1178	0.4635
1.0547	0.6737
1.3931	0.6715
2.0243	-0.0965
1.6694	0.4767
1.4950	0.4333
1.7345	0.3412
1.8612	0.3195
2.2776	0.4192
1.9639	0.3242
1.7304	0.2815
2.2134	0.4145
