#rho	velocity
0.2525	1.4375
0.3264	1.5035
0.4568	1.4522
0.5230	1.2248
0.4623	1.4630
0.2997	1.6507
0.2526	1.4305
0.3269	1.4975
0.4562	1.4695
0.5203	1.2400
0.4627	1.4667
0.3002	1.6205
0.2524	1.4292
0.3271	1.4980
0.4562	1.4988
0.5185	1.2795
0.4633	1.4760
0.3006	1.5770
0.2523	1.4125
0.3272	1.5080
0.4560	1.5077
0.5177	1.2740
0.4639	1.4615
0.3008	1.5397
0.2521	1.3932
0.3275	1.5235
0.4562	1.5112
0.5175	1.2895
0.4643	1.4490
0.3006	1.5082
0.2520	1.4018
0.3278	1.5455
0.4569	1.5095
0.5176	1.3083
0.4641	1.4425
0.3004	1.4895
0.2518	1.4098
0.3283	1.5623
0.4575	1.5177
0.5178	1.3218
0.4643	1.4447
0.2999	1.4938
0.2516	1.4187
0.3285	1.5827
0.4578	1.5218
0.5190	1.3435
0.4643	1.4223
0.2993	1.5073
0.2514	1.4277
0.3297	1.6075
0.4586	1.5070
0.5166	1.3647
0.4644	1.4128
0.2991	1.5120
0.2512	1.4245
0.3306	1.6107
0.4593	1.4980
0.5154	1.3840
0.4643	1.3897
0.2988	1.5300
0.2512	1.4230
0.3315	1.6148
0.4596	1.4752
0.5133	1.4045
0.4641	1.3677
0.2987	1.5313
0.2512	1.4292
0.3321	1.6143
0.4593	1.4515
0.5112	1.4193
0.4642	1.3480
0.2990	1.5373
0.2993	1.5295
0.2511	1.4230
0.3323	1.6015
0.4604	1.4322
0.5099	1.4000
0.4635	1.3203
0.2991	1.5048
0.2513	1.4235
0.3325	1.5980
0.4600	1.4250
0.5100	1.4475
0.4633	1.3185
0.2992	1.4800
0.2512	1.4207
0.3325	1.5860
0.4608	1.4280
0.5098	1.4220
0.4628	1.3243
0.2989	1.4448
0.2513	1.4117
0.3324	1.5870
0.4615	1.4315
0.5109	1.4477
0.4617	1.3312
0.2985	1.4070
0.2515	1.3845
0.3326	1.6057
0.4618	1.4345
0.5115	1.4210
0.4608	1.3198
0.2980	1.3815
0.2515	1.3818
0.3329	1.6235
0.4626	1.4390
0.5122	1.4118
0.4599	1.3482
0.2974	1.3785
0.2513	1.3710
0.3330	1.6308
0.4632	1.4582
0.5136	1.3970
0.4599	1.3585
0.2969	1.3787
0.2511	1.3818
0.3342	1.6153
0.4637	1.4653
0.5124	1.3940
0.4601	1.3888
0.2962	1.4022
0.2509	1.3802
0.3346	1.6110
0.4639	1.4838
0.5134	1.3872
0.4606	1.3945
0.2955	1.4132
0.2506	1.3882
0.3362	1.6032
0.4642	1.4990
0.5119	1.3877
0.4615	1.4522
0.2950	1.4342
0.2504	1.4048
0.3371	1.5855
0.4643	1.5220
0.5114	1.4020
0.4620	1.4772
0.2946	1.4427
0.2502	1.4210
0.3377	1.5617
0.4642	1.5103
0.5109	1.4020
0.4627	1.4942
0.2950	1.4520
0.2502	1.4438
0.3374	1.5255
0.4640	1.5020
0.5106	1.4505
0.4631	1.4690
0.2952	1.4462
0.2500	1.4670
0.3374	1.5187
0.4653	1.5048
0.5101	1.4528
0.4624	1.4685
0.2951	1.4327
0.2501	1.4948
0.3374	1.4773
0.4638	1.5053
0.5102	1.4982
0.4635	1.4725
0.2954	1.4100
0.2500	1.5075
0.3370	1.4338
0.4645	1.5130
0.5105	1.5275
0.4630	1.4725
0.2953	1.3880
0.2502	1.5333
0.3366	1.4187
0.4638	1.5223
0.5115	1.5465
0.4631	1.4877
0.2956	1.3655
0.2504	1.5392
0.3359	1.4630
0.4651	1.5473
0.5123	1.5713
0.4612	1.4858
0.2950	1.3462
0.2505	1.5585
0.3361	1.4840
0.4654	1.5655
0.5138	1.6003
0.4607	1.5218
0.2947	1.3422
0.2505	1.5615
0.3357	1.5258
0.4656	1.6025
0.5154	1.6280
0.4605	1.5035
0.2946	1.3375
0.2503	1.5492
0.3350	1.5715
0.4660	1.6075
0.5177	1.6110
0.4605	1.5033
0.2941	1.3447
0.2503	1.5568
0.3349	1.5835
0.4657	1.6335
0.5193	1.6215
0.4608	1.4863
0.2933	1.3442
0.2501	1.5537
0.3350	1.5870
0.4667	1.6458
0.5215	1.6210
0.4608	1.5165
0.2928	1.3555
0.2499	1.5450
0.3348	1.5378
0.4672	1.6407
0.5236	1.6142
0.4608	1.5077
0.2920	1.3707
0.2496	1.5165
0.3351	1.5115
0.4681	1.6243
0.5255	1.6015
0.4611	1.5168
0.2914	1.3748
0.2493	1.5003
0.3361	1.4757
0.4690	1.6030
0.5251	1.5987
0.4611	1.5047
0.2912	1.3775
0.2493	1.4595
0.3358	1.4512
0.4703	1.5888
0.5264	1.5860
0.4601	1.5148
0.2914	1.3807
0.2492	1.4455
0.3352	1.3972
0.4708	1.5727
0.5272	1.5592
0.4596	1.4983
0.2918	1.3867
0.2493	1.4300
0.3344	1.3668
0.4713	1.5697
0.5278	1.5280
0.4591	1.5017
0.2923	1.3775
0.2491	1.4043
0.3337	1.3262
0.4703	1.5532
0.5279	1.4937
0.4605	1.4838
0.2928	1.3635
0.2491	1.3840
0.3322	1.2922
0.4703	1.5450
0.5299	1.4952
0.4607	1.5020
0.2928	1.3535
0.2487	1.3943
0.3319	1.2867
0.4690	1.5727
0.5308	1.4625
0.4632	1.5063
0.2930	1.3418
0.2485	1.3853
0.3314	1.2998
0.4700	1.5892
0.5314	1.4415
0.4630	1.5033
0.2931	1.3232
0.2482	1.3833
0.3312	1.3085
0.4702	1.5990
0.5315	1.4282
0.4639	1.4955
0.2929	1.3087
0.2477	1.4213
0.3314	1.3312
0.4712	1.6142
0.5320	1.4360
0.4645	1.4627
0.2926	1.3030
0.2473	1.4175
0.3316	1.3660
0.4709	1.6190
0.5325	1.4250
0.4661	1.4545
0.2924	1.3015
0.2471	1.4385
0.3318	1.3620
0.4732	1.6113
0.5325	1.4430
0.4649	1.4110
0.2921	1.2930
0.2467	1.4332
0.3320	1.3643
0.4746	1.6080
0.5328	1.4590
0.4647	1.4145
0.4639	1.4037
0.2921	1.2820
0.2466	1.4275
0.3317	1.3508
0.4759	1.5960
0.5337	1.4803
0.4623	1.3977
0.2919	1.2800
0.2467	1.4502
0.3314	1.3365
0.4771	1.5810
0.5351	1.4960
0.4623	1.3765
0.2917	1.2832
0.2466	1.4888
0.3309	1.3135
0.4777	1.6027
0.5369	1.5120
0.4620	1.3685
0.2918	1.2825
0.2466	1.4613
0.3301	1.2807
0.4779	1.5473
0.5389	1.5297
0.4622	1.3652
0.2918	1.2932
0.2463	1.4575
0.3293	1.2465
0.4787	1.5810
0.5410	1.5395
0.4628	1.3730
0.2920	1.3057
0.2461	1.4712
0.3284	1.3185
0.4788	1.5855
0.5429	1.5453
0.4622	1.3700
0.2919	1.3118
0.2461	1.4345
0.3279	1.3290
0.4795	1.5990
0.5445	1.5490
0.4613	1.3537
0.2921	1.3208
0.2459	1.4492
0.3273	1.2833
0.4812	1.6012
0.5458	1.5540
0.4609	1.3235
0.2924	1.3292
0.2460	1.4488
0.3265	1.3393
0.4814	1.6090
0.5469	1.5555
0.4607	1.3197
0.2929	1.3518
0.2452	1.4532
0.3257	1.3538
0.4846	1.5977
0.5472	1.5543
0.4597	1.2930
0.2919	1.3860
0.2452	1.4570
0.3268	1.3822
0.4857	1.5902
0.5477	1.5535
0.4595	1.2857
0.2916	1.4133
0.2448	1.4350
0.3266	1.3878
0.4877	1.5892
0.5491	1.5548
0.4583	1.2822
0.2924	1.4405
0.2447	1.4132
0.3251	1.3980
0.4893	1.5635
0.5507	1.5642
0.4567	1.2930
0.2916	1.4715
0.2447	1.4147
0.3254	1.4143
0.4914	1.5773
0.5524	1.5810
0.4566	1.2925
0.2918	1.4953
0.2446	1.4138
0.3250	1.4382
0.4918	1.5315
0.5531	1.6045
0.4559	1.2865
0.2920	1.5278
0.2445	1.4017
0.3248	1.3603
0.4929	1.5273
0.5530	1.6255
0.4559	1.2912
0.2923	1.5707
0.2443	1.4177
0.3244	1.3332
0.4939	1.5088
0.5531	1.6567
0.4558	1.2853
0.2928	1.6022
0.2441	1.4253
0.3237	1.3735
0.4946	1.5055
0.5533	1.6697
0.4558	1.3015
0.2934	1.6195
0.2441	1.4350
0.3229	1.3125
0.4949	1.4988
0.5535	1.6757
0.4556	1.2860
0.2939	1.6387
0.2438	1.4420
0.3222	1.3010
0.4961	1.4878
0.5538	1.6922
0.4549	1.2867
0.2947	1.6363
0.2437	1.4503
0.3212	1.2775
0.4974	1.4698
0.5536	1.6948
0.4543	1.2835
0.2957	1.6355
0.2437	1.4597
0.3199	1.2800
0.4983	1.4550
0.5543	1.6792
0.4524	1.2705
0.2964	1.6622
0.2438	1.4555
0.3190	1.2767
0.5001	1.4460
0.5548	1.6415
0.4512	1.2620
0.2970	1.6755
0.2439	1.4608
0.3179	1.2877
0.5011	1.4390
0.5558	1.6007
0.4502	1.2643
0.2976	1.6718
0.2440	1.4495
0.3170	1.3013
0.5017	1.4280
0.5564	1.5555
0.4492	1.2640
0.2983	1.6512
0.2443	1.4603
0.3162	1.3118
0.5019	1.4297
0.5566	1.5177
0.5558	1.4582
0.4487	1.2745
0.2985	1.6615
0.2443	1.4752
0.3162	1.3395
0.5024	1.4457
0.5520	1.4195
0.4482	1.3000
0.2995	1.6420
0.2442	1.4437
0.3163	1.3507
0.5033	1.4668
0.5490	1.3702
0.4477	1.3342
0.3002	1.6892
0.2443	1.4387
0.3165	1.3672
0.5037	1.4947
0.5468	1.3355
0.4481	1.3543
0.3004	1.6640
0.2441	1.4655
0.3170	1.3702
0.5042	1.5275
0.5456	1.3110
0.4469	1.3658
0.3008	1.6993
0.2441	1.4535
0.3170	1.3670
0.5057	1.5462
0.5421	1.3162
0.4461	1.3680
0.3014	1.6723
0.2440	1.4535
0.3175	1.3662
0.5070	1.5620
0.5414	1.3268
0.4466	1.3880
0.3016	1.6883
0.2435	1.4643
0.3176	1.3728
0.5085	1.5632
0.5368	1.3317
0.4470	1.3967
0.3027	1.6373
0.2432	1.4582
0.3179	1.3715
0.5093	1.5710
0.5368	1.3387
0.4457	1.4055
0.3029	1.6487
0.2433	1.4768
0.3177	1.3773
0.5106	1.5597
0.5335	1.3458
0.4457	1.4220
0.3043	1.6687
0.2432	1.4512
0.3173	1.4075
0.5112	1.5538
0.5346	1.3522
0.4453	1.4265
0.3041	1.6670
0.2430	1.4435
0.3172	1.4160
0.5123	1.5490
0.5308	1.3495
0.4452	1.4285
0.3053	1.6922
0.2431	1.4443
0.3172	1.4265
0.5123	1.5280
0.5311	1.3705
0.4452	1.4130
0.3051	1.6465
0.2430	1.4405
0.3173	1.4530
0.5127	1.5240
0.5288	1.3787
0.4452	1.4085
0.3054	1.6743
0.2431	1.4195
0.3178	1.4782
0.5122	1.5145
0.5270	1.3882
0.4457	1.4040
0.3056	1.6355
0.2429	1.4348
0.3183	1.5065
0.5125	1.5390
0.5242	1.3933
0.4455	1.4043
0.3061	1.6683
0.2428	1.4560
0.3188	1.5250
0.5133	1.5430
0.5221	1.4027
0.4460	1.3840
0.3065	1.6213
0.2425	1.4700
0.3191	1.5382
0.5137	1.5488
0.5214	1.4145
0.4459	1.3912
0.3063	1.6212
0.2423	1.4920
0.3195	1.5440
0.5151	1.5050
0.5203	1.4280
0.4453	1.3970
0.3066	1.6455
0.2422	1.5095
0.3197	1.5370
0.5162	1.5587
0.5198	1.4342
0.4445	1.3940
0.3067	1.6353
0.2420	1.5203
0.3197	1.5210
0.5183	1.4930
0.5193	1.4367
0.4432	1.3850
0.3068	1.5813
0.2420	1.5217
0.3198	1.5048
0.5197	1.5128
0.5188	1.4412
0.4418	1.3850
0.3069	1.5538
0.2421	1.5342
0.3199	1.5097
0.5211	1.4550
0.5197	1.4415
0.4412	1.3905
0.3065	1.5625
0.2428	1.5355
0.3200	1.5017
0.5188	1.4590
0.5170	1.4337
0.4408	1.3867
0.3075	1.5312
0.2425	1.5310
