#rho	velocity
0.3546	1.0995
0.3720	1.1250
0.3184	1.2545
0.3351	1.0617
0.4258	0.9565
0.3791	1.2755
0.3537	1.0772
0.3721	1.1220
0.3192	1.2248
0.3355	1.0780
0.4255	0.9940
0.3786	1.2040
0.3536	1.0900
0.3720	1.1150
0.3197	1.2318
0.3349	1.1070
0.4248	1.0215
0.3794	1.2408
0.3529	1.1075
0.3719	1.1275
0.3203	1.2385
0.3339	1.1023
0.4246	1.0530
0.3808	1.1798
0.3529	1.1208
0.3717	1.1367
0.3205	1.2332
0.3339	1.0885
0.4244	1.0783
0.3809	1.1578
0.3520	1.1273
0.3716	1.1513
0.3213	1.2300
0.3342	1.0762
0.4244	1.1052
0.3807	1.0825
0.3520	1.1405
0.3717	1.1643
0.3207	1.2117
0.3351	1.0615
0.4253	1.1210
0.3794	1.1018
0.3517	1.1375
0.3720	1.1880
0.3211	1.1940
0.3345	1.0500
0.4251	1.1328
0.3799	1.0983
0.3785	1.0615
0.3517	1.1423
0.3725	1.2135
0.3212	1.1928
0.3352	1.0360
0.4250	1.1420
0.3782	1.0705
0.3518	1.1300
0.3732	1.2835
0.3212	1.2023
0.3349	1.0140
0.4248	1.1405
0.3772	1.0840
0.3520	1.1233
0.3741	1.2427
0.3209	1.1708
0.3350	0.9965
0.4250	1.1348
0.3768	1.1230
0.3519	1.1565
0.3749	1.2502
0.3211	1.2002
0.3345	0.9840
0.4248	1.1252
0.3768	1.1105
0.3522	1.1385
0.3759	1.3045
0.3210	1.1830
0.3338	0.9755
0.4246	1.1255
0.3764	1.1510
0.3517	1.1315
0.3769	1.2595
0.3214	1.1698
0.3334	0.9750
0.4246	1.1158
0.3748	1.1470
0.3511	1.1167
0.3793	1.2543
0.3218	1.1688
0.3327	0.9895
0.4248	1.1115
0.3762	1.1660
0.3508	1.1060
0.3785	1.2492
0.3220	1.1795
0.3322	1.0105
0.4248	1.1155
0.3758	1.1610
0.3509	1.1205
0.3792	1.2510
0.3223	1.1665
0.3320	1.0367
0.4242	1.1298
0.3744	1.1445
0.3506	1.1617
0.3813	1.2470
0.3223	1.1820
0.3315	1.0608
0.4247	1.1825
0.3754	1.1397
0.3507	1.1895
0.3806	1.2595
0.3223	1.1630
0.3313	1.0805
0.4244	1.2073
0.3752	1.1302
0.3506	1.2252
0.3807	1.2223
0.3224	1.1477
0.3314	1.1050
0.4246	1.2340
0.3748	1.1232
0.3502	1.2660
0.3809	1.2435
0.3223	1.1463
0.3315	1.1258
0.4253	1.2228
0.3743	1.1240
0.3507	1.2690
0.3811	1.2385
0.3219	1.1338
0.3318	1.1340
0.4252	1.2617
0.3739	1.1272
0.3517	1.2960
0.3812	1.1845
0.3210	1.1247
0.3320	1.1430
0.4253	1.2260
0.3731	1.1200
0.3523	1.2930
0.3820	1.2245
0.3205	1.1203
0.3320	1.1607
0.4253	1.2007
0.3723	1.1245
0.3530	1.2792
0.3827	1.2270
0.3200	1.1205
0.3321	1.1665
0.4251	1.2170
0.3728	1.1290
0.3538	1.2853
0.3819	1.2488
0.3204	1.1160
0.3323	1.1485
0.4232	1.1812
0.3726	1.1358
0.3543	1.2755
0.3822	1.2247
0.3196	1.1237
0.3322	1.1675
0.4239	1.1282
0.3728	1.1570
0.3548	1.2403
0.3825	1.2342
