#rho	velocity
0.2725	1.5372
0.3569	1.7015
0.5195	1.6992
0.3825	1.5260
0.3683	1.8348
0.3456	1.7410
0.2723	1.5463
0.3570	1.6420
0.5200	1.6995
0.3818	1.5402
0.3684	1.9052
0.3461	1.7307
0.2716	1.5275
0.3572	1.6403
0.5195	1.6632
0.3813	1.5413
0.3700	1.8690
0.3462	1.7115
0.2712	1.5055
0.3574	1.6903
0.5183	1.6397
0.3806	1.4995
0.3713	1.9257
0.3467	1.6973
0.2706	1.5107
0.3578	1.7105
0.5190	1.5915
0.3797	1.4928
0.3721	1.9073
0.3471	1.6780
0.2706	1.5072
0.3578	1.7255
0.5182	1.6085
0.3783	1.4843
0.3725	1.9318
0.3482	1.6465
0.2703	1.5025
0.3585	1.7320
0.5148	1.5915
0.3779	1.4868
0.3748	2.0388
0.3479	1.6200
0.2705	1.5225
0.3594	1.7325
0.5142	1.5502
0.3778	1.4960
0.3748	2.0635
0.3472	1.6200
0.2708	1.5305
0.3614	1.7320
0.5077	1.5220
0.3775	1.5123
0.3777	2.0887
0.3455	1.6002
0.2710	1.5510
0.3626	1.7197
0.5064	1.4672
0.3776	1.5400
0.3781	2.1283
0.3444	1.5977
0.2710	1.5308
0.3631	1.7138
0.5027	1.4680
0.3778	1.5453
0.3802	2.1425
0.3437	1.5665
0.2710	1.5345
0.3634	1.6862
0.4969	1.4662
0.3779	1.6142
0.3836	2.1123
0.3434	1.5728
0.2712	1.5280
0.3633	1.6532
0.4932	1.4850
0.3778	1.6527
0.3854	2.1470
0.3436	1.5928
0.2713	1.5203
0.3631	1.5877
0.4896	1.5200
0.3780	1.6880
0.3873	2.0823
0.3436	1.6010
0.2718	1.4975
0.3624	1.5497
0.4857	1.5497
0.3780	1.7147
0.3888	2.1097
0.3442	1.6023
0.2715	1.4663
0.3622	1.5385
0.4843	1.5257
0.3777	1.7315
0.3903	2.0867
0.3447	1.5977
0.2713	1.4410
0.3604	1.5322
0.4827	1.5277
0.3791	1.7297
0.3918	2.0073
0.3452	1.5905
0.2711	1.4000
0.3594	1.5343
0.4814	1.5390
0.3795	1.7335
0.3931	1.9982
0.3457	1.5400
0.2708	1.3943
0.3588	1.5197
0.4803	1.5765
0.3800	1.7460
0.3944	1.9848
0.3458	1.4995
0.2702	1.4130
0.3583	1.5237
0.4792	1.6565
0.3809	1.7543
0.3964	1.9750
0.3456	1.4823
0.2701	1.4167
0.3581	1.5197
0.4758	1.6547
0.3817	1.7903
0.3990	1.9590
0.3451	1.4295
0.2697	1.6167
0.3582	1.5400
0.4743	1.6583
0.3819	1.7698
0.4010	1.9345
0.3448	1.4255
0.2692	1.8258
0.3582	1.5358
0.4718	1.6433
0.3834	1.7920
0.4040	1.9223
0.3437	1.3825
0.3431	1.3675
0.2687	1.7295
0.3572	1.5332
0.4708	1.6495
0.3852	1.8113
0.4059	1.8993
0.3432	1.3627
0.2683	1.6447
0.3565	1.5193
0.4711	1.6383
0.3860	1.8190
0.4066	1.8628
0.3425	1.3713
0.2681	1.5750
0.3552	1.5070
0.4705	1.6660
0.3883	1.8385
0.4075	1.8545
0.3425	1.3638
0.2707	1.5653
0.3545	1.4830
0.4702	1.6723
0.3892	1.8913
0.4018	1.8282
0.3421	1.3908
0.2738	1.5820
0.3529	1.5050
0.4688	1.6935
0.3917	1.9298
0.3961	1.8275
0.3419	1.4235
0.2720	1.5842
