#rho	velocity
0.3099	1.0110
0.3216	1.2522
0.2349	1.3910
0.2285	1.1890
0.3092	0.9847
0.3219	1.2690
0.2352	1.3698
0.2284	1.1765
0.3086	0.9713
0.3222	1.2800
0.2356	1.3857
0.2282	1.1823
0.3079	0.9640
0.3223	1.2718
0.2360	1.3945
0.2282	1.1798
0.3069	0.9623
0.3224	1.2520
0.2366	1.3952
0.2281	1.1583
0.3064	0.9763
0.3226	1.2490
0.2369	1.4070
0.2280	1.1485
0.3054	0.9885
0.3231	1.2248
0.2375	1.4080
0.2278	1.1210
0.3043	0.9947
0.3231	1.1920
0.2381	1.4003
0.2278	1.1012
0.2278	1.0767
0.3033	1.0028
0.3230	1.1662
0.2388	1.3920
0.2277	1.0563
0.3025	1.0242
0.3234	1.1517
0.2393	1.3777
0.2275	1.0410
0.3018	1.0255
0.3237	1.1380
0.2397	1.3718
0.2273	1.0465
0.3014	1.0515
0.3240	1.1145
0.2400	1.3465
0.2273	1.0368
0.3010	1.0740
0.3241	1.1117
0.2402	1.3220
0.2273	1.0433
0.3007	1.0708
0.3242	1.1102
0.2404	1.3030
0.2271	1.0642
0.3004	1.0845
0.3244	1.1125
0.2406	1.2770
0.2270	1.1000
0.3000	1.0807
0.3247	1.1005
0.2409	1.2280
0.2271	1.1175
0.3000	1.0672
0.3245	1.0805
0.2409	1.2350
0.2270	1.1382
0.2998	1.0760
0.3246	1.0845
0.2410	1.2320
0.2272	1.1512
0.2991	1.0825
0.3244	1.0645
0.2415	1.2167
0.2272	1.1610
0.2990	1.0970
0.3244	1.0392
0.2415	1.2110
0.2275	1.1572
0.2991	1.1098
0.3237	1.0137
0.2414	1.2100
0.2277	1.1673
0.2984	1.1233
0.3233	0.9992
0.2419	1.2185
0.2279	1.1567
0.2982	1.1255
0.3230	0.9860
0.2420	1.1710
0.2282	1.1435
0.2983	1.1433
0.3224	0.9797
0.2420	1.1770
0.2284	1.1205
0.2984	1.1320
0.3219	0.9675
0.2419	1.1740
0.2285	1.0855
0.2982	1.1268
0.3217	0.9675
0.2420	1.2185
0.2288	1.0595
0.2983	1.1280
0.3210	0.9808
0.2420	1.1765
0.2288	1.0510
0.2990	1.1027
0.3211	0.9942
0.2415	1.1557
0.2289	1.0347
0.2985	1.0865
0.3210	1.0185
0.2419	1.1770
0.2287	1.0335
0.2983	1.0567
0.3212	1.0530
0.2420	1.1567
0.2287	1.0358
0.2975	1.0375
0.3212	1.0890
0.2425	1.1187
0.2285	1.0485
0.2975	1.0128
0.3216	1.1268
0.2425	1.1153
0.2284	1.0620
0.2973	1.0085
0.3218	1.1475
0.2426	1.1565
0.2283	1.0753
0.2967	1.0128
0.3220	1.1728
0.2430	1.1248
0.2282	1.0892
0.2966	1.0197
0.3223	1.1800
0.2431	1.1065
0.2279	1.0985
0.2968	1.0383
0.3228	1.1857
0.2430	1.0688
0.2280	1.1192
0.2965	1.0465
0.3226	1.1747
0.2432	1.0700
0.2279	1.1147
0.2964	1.0590
0.3229	1.1558
0.2433	1.0643
0.2278	1.1135
0.2965	1.0688
0.3230	1.1385
0.2432	1.0352
0.2278	1.1115
0.2967	1.0757
0.3231	1.1095
0.2430	1.0090
0.2278	1.0970
0.2970	1.0828
0.3231	1.0702
0.2429	1.0453
0.2279	1.0365
0.2971	1.0795
0.3228	1.0502
0.2428	1.0300
0.2280	1.0400
0.2972	1.0652
0.3227	1.0355
0.2427	1.0358
0.2281	1.0350
0.2973	1.0557
0.3225	1.0160
0.2426	1.0157
0.2282	1.0272
0.2978	1.0265
0.3222	1.0120
0.2423	1.0248
0.2282	1.0080
0.2974	1.0117
0.3222	0.9970
0.2425	1.0063
0.2279	1.0030
0.2974	1.0033
0.3229	1.0115
0.2426	1.0085
0.2280	1.0495
0.2969	0.9950
0.3228	1.0315
0.2429	1.0165
0.2427	1.0168
0.2280	1.0468
0.2972	0.9947
0.3226	1.0317
0.2430	1.0765
0.2280	1.0668
0.2968	1.0050
0.3228	1.0365
0.2428	1.0680
0.2279	1.0895
0.2971	1.0075
0.3228	1.0473
0.2428	1.0640
0.2279	1.1168
0.2970	1.0265
0.3230	1.0457
0.2429	1.0215
0.2282	1.1240
0.2968	1.0347
0.3223	1.0420
0.2429	1.0405
0.2282	1.1178
0.2969	1.0343
0.3222	1.0410
0.2432	1.0468
0.2285	1.1050
0.2965	1.0533
0.3216	1.0540
0.2433	1.0705
0.2287	1.0745
0.2964	1.0530
0.3214	1.0643
0.2430	1.0673
0.2286	1.0673
0.2967	1.0530
0.3214	1.0838
0.2428	1.0700
0.2288	1.0077
0.2971	1.0498
0.3211	1.0915
0.2428	1.0728
0.2288	0.9915
0.2971	1.0375
0.3210	1.1188
0.2429	1.0545
0.2285	0.9752
0.2969	1.0213
0.3217	1.1452
0.2430	1.0628
0.2280	0.9550
0.2968	1.0017
0.3226	1.1777
0.2430	1.0860
0.2277	0.9450
0.2968	0.9952
0.3233	1.2083
0.2432	1.1247
0.2273	0.9405
0.2965	0.9768
0.3240	1.2243
0.2433	1.1338
0.2269	0.9375
0.2963	0.9727
0.3249	1.2440
0.2435	1.1457
0.2268	1.0035
0.2959	0.9765
0.3252	1.2325
0.2440	1.1562
0.2264	1.0525
0.2953	0.9768
0.3260	1.2312
0.2441	1.1722
0.2259	1.0347
0.2951	0.9760
0.3270	1.1952
0.2445	1.1842
0.2259	1.0657
0.2945	0.9830
0.3270	1.1590
0.2447	1.1883
0.2257	1.0870
0.2943	0.9768
0.3275	1.1302
0.2449	1.1867
0.2261	1.0690
0.2939	0.9855
0.3265	1.1128
0.2451	1.1700
0.2262	1.0740
0.2936	0.9945
0.3264	1.0898
0.2453	1.1600
0.2260	1.0892
0.2933	0.9718
0.3267	1.0577
0.2456	1.1492
0.2264	1.0590
0.2930	0.9780
0.3260	1.0507
0.2458	1.1562
0.2265	1.0497
0.2926	0.9600
0.3258	1.0528
0.2460	1.1565
0.2263	1.0020
0.2925	0.9443
0.3261	1.0680
0.2461	1.1515
0.2262	0.9620
0.2923	0.9320
0.3264	1.0823
0.2464	1.1485
0.2262	0.9820
0.2919	0.9155
0.3263	1.1003
0.2466	1.1348
0.2260	0.9500
0.2916	0.9110
0.3268	1.1293
0.2471	1.1380
