#rho	velocity
0.3053	0.9852
0.2833	1.0123
0.2376	0.9660
0.2528	1.0598
0.3055	1.0020
0.2833	1.0450
0.2375	0.9835
0.2528	1.0790
0.3057	1.0317
0.2828	1.0232
0.2373	0.9835
0.2532	1.0918
0.3057	1.0468
0.2831	1.0655
0.2373	0.9820
0.2530	1.0983
0.3058	1.0470
0.2830	1.0340
0.2372	0.9900
0.2531	1.1068
0.3059	1.0447
0.2826	1.0590
0.2372	0.9860
0.2534	1.0860
0.3057	1.0430
0.2831	1.0535
0.2373	1.0030
0.2530	1.0850
0.3061	1.0200
0.2830	1.0662
0.2371	0.9872
0.2531	1.0858
0.3063	1.0087
0.2829	1.0065
0.2369	0.9858
0.2531	1.0500
0.3064	0.9850
0.2828	0.9953
0.2369	0.9730
0.2532	1.0582
0.3064	0.9598
0.2829	1.0020
0.2369	0.9525
0.2531	1.0750
0.3062	0.9505
0.2828	0.9330
0.2370	0.9365
0.2532	1.0970
0.3063	0.9303
0.2825	0.9187
0.2370	0.9525
0.2535	1.1253
0.3061	0.9262
0.2824	0.8925
0.2370	0.9652
0.2536	1.1535
0.3061	0.9255
0.2820	0.8840
0.2371	0.9660
0.2539	1.1877
0.3060	0.9340
0.2815	0.8685
0.2371	0.9800
0.2543	1.2335
0.3060	0.9517
0.2805	0.8782
0.2372	0.9692
0.2551	1.2478
0.3057	0.9655
0.2797	0.9050
0.2373	0.9805
0.2557	1.2635
0.3056	0.9852
0.2788	0.9252
0.2374	0.9820
0.2565	1.2852
0.3056	0.9952
0.2781	0.9357
0.2374	0.9752
0.2572	1.2835
0.3055	1.0132
0.2772	0.9578
0.2374	0.9810
0.2579	1.2635
0.3059	1.0282
0.2770	0.9990
0.2372	0.9767
0.2580	1.2573
0.3060	1.0282
0.2769	1.0258
0.2371	0.9642
0.2581	1.2297
0.3062	1.0328
0.2767	1.0513
0.2370	0.9502
0.2583	1.2090
0.3064	1.0280
0.2766	1.0555
0.2369	0.9487
0.2585	1.1700
0.3066	1.0195
0.2767	1.0683
0.2368	0.9362
0.2583	1.1412
0.3069	1.0025
0.2765	1.0528
0.2366	0.9285
0.2585	1.1390
0.3069	0.9813
0.2766	1.0092
0.2366	0.9235
0.2584	1.1265
0.3071	0.9503
0.2764	1.0095
0.2365	0.9262
0.2586	1.1395
0.3071	0.9535
0.2763	0.9895
0.2365	0.9420
0.2587	1.1700
0.3071	0.9315
0.2761	0.9705
0.2365	0.9483
0.2589	1.2095
0.3073	0.9260
0.2757	0.9550
0.2364	0.9555
0.2592	1.2422
0.3071	0.9377
0.2751	0.9932
0.2365	0.9632
0.2597	1.2865
0.3067	0.9408
0.2748	0.9573
0.2367	0.9545
0.2600	1.3108
0.3067	0.9477
0.2738	0.9810
0.2367	0.9480
0.2609	1.3307
0.3063	0.9935
0.2731	0.9840
0.2369	0.9593
0.2615	1.3303
0.3064	1.0055
0.2722	1.0092
0.2369	0.9680
0.2624	1.3330
0.3064	1.0170
0.2722	1.0340
0.2369	0.9525
0.2624	1.3148
0.3069	1.0380
0.2711	1.0557
0.2366	0.9565
0.2634	1.3065
0.3071	1.0375
0.2711	1.0870
0.2365	0.9355
0.2634	1.2722
0.3077	1.0502
0.2709	1.0660
0.2361	0.9365
0.2636	1.2445
0.3080	1.0585
0.2709	1.0993
0.2360	0.9377
0.2636	1.2218
0.3083	1.0573
0.2709	1.0405
0.2358	0.9285
0.2636	1.1975
0.3082	1.0260
0.2710	1.0620
0.2358	0.9458
0.2635	1.1925
0.3086	0.9920
0.2711	1.0302
0.2356	0.9623
0.2634	1.2110
0.3085	0.9635
0.2705	1.0112
0.2357	0.9523
0.2640	1.2267
0.3086	0.8983
0.2704	0.9743
0.2356	0.9590
0.2641	1.2472
0.3088	0.8893
0.2699	0.9432
0.2355	0.9855
0.2646	1.3045
0.3084	0.8732
0.2692	0.9085
0.2357	0.9785
0.2652	1.3342
0.3076	0.8515
0.2684	0.8787
0.2362	0.9768
0.2660	1.3573
0.3080	0.8393
0.2678	0.9040
0.2360	0.9642
0.2666	1.3802
0.3068	0.8378
0.2669	0.8862
0.2366	0.9625
0.2675	1.3937
0.3065	0.8435
0.2657	0.9103
0.2369	0.9422
0.2687	1.3775
0.3062	0.8747
0.2649	0.9245
0.2370	0.9470
0.2695	1.3610
0.3062	0.9197
0.2642	0.9295
0.2370	0.9420
0.2702	1.3450
0.3061	0.8763
0.2637	0.9470
0.2371	0.9402
0.2708	1.3183
0.3063	0.9455
0.2632	0.9512
0.2370	0.9273
0.2713	1.2820
0.3070	0.9527
0.2632	0.9620
0.2366	0.9065
0.2713	1.2162
0.3070	0.9732
0.2630	0.9785
0.2365	0.9115
0.2715	1.1577
0.3072	0.9837
0.2626	0.9550
0.2364	0.9290
0.2720	1.1425
0.3067	0.9898
0.2625	0.9375
0.2367	0.9330
0.2720	1.0913
0.3072	0.9718
0.2623	0.9238
0.2364	0.9462
0.2723	1.0763
0.3073	0.9465
0.2622	0.9300
0.2363	0.9720
0.2724	1.0645
0.3074	0.9227
0.2624	0.8915
0.2363	0.9630
0.2722	1.0728
0.3073	0.8837
0.2616	0.9020
0.2364	0.9565
0.2730	1.0755
0.3072	0.8972
0.2616	0.8925
0.2364	0.9572
0.2731	1.0902
0.3068	0.8810
0.2611	0.9105
0.2367	0.9577
0.2736	1.1190
0.3065	0.8652
0.2614	0.9093
0.2368	0.9550
0.2733	1.1415
0.3063	0.8532
0.2605	0.9310
0.2370	0.9490
0.2742	1.1603
0.3059	0.8757
0.2602	0.9750
0.2372	0.9463
0.2746	1.1565
0.3056	0.8940
0.2598	0.9868
0.2374	0.9503
0.2750	1.1782
0.3057	0.9113
0.2595	1.0050
0.2373	0.9480
0.2754	1.1635
0.3057	0.9180
0.2590	0.9722
0.2373	0.9503
0.2759	1.1890
0.3056	0.9547
0.2593	1.0152
0.2374	0.9595
0.2756	1.1502
0.3059	0.9900
0.2592	0.9970
0.2372	0.9810
0.2757	1.1515
0.3061	0.9985
0.2590	1.0200
0.2371	1.0068
0.2760	1.1357
0.3061	1.0120
0.2589	0.9950
0.2371	1.0155
0.2760	1.1158
0.3059	1.0225
0.2584	1.0095
0.2372	1.0428
0.2766	1.0862
0.3062	1.0328
