#rho	velocity
0.2654	0.9685
0.2732	1.0095
0.2690	1.1575
0.2615	1.3505
0.2648	0.9447
0.2726	0.9757
0.2696	1.1273
0.2620	1.3513
0.2647	0.9602
0.2718	0.9552
0.2698	1.0993
0.2627	1.3445
0.2647	0.9442
0.2706	0.9612
0.2698	1.0710
0.2639	1.3365
0.2643	1.0105
0.2702	0.8825
0.2702	1.0445
0.2643	1.3270
0.2648	1.0195
0.2693	0.8800
0.2696	1.0257
0.2652	1.3042
0.2644	1.0728
0.2686	0.9085
0.2701	1.0190
0.2658	1.2755
0.2648	1.0785
0.2680	0.9272
0.2697	1.0160
0.2664	1.2407
0.2649	1.0663
0.2679	0.9723
0.2695	1.0250
0.2665	1.1852
0.2652	1.1187
0.2672	0.9740
0.2692	1.0400
0.2672	1.1323
0.2653	1.0722
0.2670	1.0128
0.2691	1.0537
0.2674	1.1055
0.2656	1.1002
0.2672	1.0157
0.2688	1.0708
0.2672	1.0637
0.2656	1.0585
0.2673	1.0140
0.2689	1.0795
0.2671	1.0408
0.2653	1.0615
0.2675	0.9830
0.2692	1.0908
0.2669	1.0355
0.2654	1.0537
0.2679	1.0013
0.2691	1.1008
0.2665	1.0380
0.2651	1.0280
0.2679	0.9820
0.2693	1.1008
0.2665	1.0673
0.2648	1.0170
0.2679	0.9365
0.2696	1.0962
0.2665	1.0997
0.2645	1.0037
0.2676	0.9190
0.2700	1.0907
0.2668	1.1223
0.2645	1.0310
0.2671	0.8947
0.2700	1.0800
0.2673	1.1490
0.2646	1.0230
0.2667	0.8745
0.2699	1.0587
0.2677	1.1603
0.2643	1.0603
0.2658	0.8557
0.2701	1.0445
0.2686	1.1650
0.2645	1.0722
0.2649	0.8900
0.2700	1.0292
0.2695	1.1720
0.2643	1.1077
0.2644	0.8718
0.2701	1.0280
0.2701	1.1722
0.2646	1.1002
0.2639	0.9173
0.2699	1.0330
0.2706	1.1480
0.2649	1.1253
0.2638	0.9322
0.2696	1.0360
0.2706	1.1265
0.2653	1.1323
0.2636	0.9660
0.2691	1.0478
0.2709	1.0915
0.2654	1.1265
0.2639	0.9965
0.2690	1.0555
0.2706	1.0570
0.2656	1.1318
0.2634	1.0142
0.2688	1.0593
0.2711	1.0328
0.2654	1.1042
0.2639	1.0260
0.2690	1.0625
0.2706	1.0193
0.2658	1.0853
0.2640	1.0060
0.2686	1.0703
0.2705	1.0255
0.2655	1.0397
0.2640	1.0215
0.2689	1.0815
0.2704	1.0282
0.2655	1.0220
0.2641	1.0005
0.2689	1.0740
0.2704	1.0423
0.2654	1.0040
0.2641	1.0192
0.2691	1.0650
0.2703	1.0680
0.2652	1.0080
0.2640	1.0007
0.2693	1.0458
0.2705	1.1030
0.2651	0.9737
0.2636	0.9840
0.2694	1.0250
0.2709	1.1472
0.2647	0.9750
0.2635	0.9930
0.2697	0.9957
0.2710	1.1690
0.2647	0.9670
0.2633	0.9888
0.2698	0.9757
0.2712	1.2078
0.2647	0.9772
0.2627	0.9955
0.2697	0.9600
0.2718	1.2320
0.2649	0.9837
0.2624	1.0095
0.2695	0.9505
0.2721	1.2340
0.2651	0.9930
0.2617	1.0590
0.2693	0.9445
0.2729	1.2277
0.2652	0.9992
0.2616	1.0747
0.2692	0.9388
0.2730	1.2190
0.2654	1.0175
0.2611	1.0888
0.2691	0.9810
0.2736	1.2110
0.2656	1.0142
0.2609	1.1275
0.2688	1.0202
0.2738	1.1820
0.2656	0.9808
0.2609	1.1393
0.2688	1.0590
0.2738	1.1525
0.2657	0.9708
0.2613	1.1652
0.2687	1.1008
0.2734	1.1160
0.2656	0.9718
0.2615	1.1347
0.2688	1.1465
0.2732	1.0803
0.2652	0.9425
0.2616	1.1492
0.2692	1.1858
0.2730	1.0608
0.2646	0.8900
0.2620	1.1490
0.2698	1.4620
0.2727	1.0405
0.2638	0.8613
0.2623	1.1085
0.2707	1.4878
0.2723	1.0340
0.2633	0.8358
0.2624	1.0615
0.2712	1.4950
0.2722	1.0467
0.2628	0.8288
0.2624	1.0740
0.2718	1.4915
0.2722	1.0577
0.2620	0.7927
0.2623	1.0652
0.2726	1.4615
0.2723	1.0765
0.2578	0.7828
0.2624	0.9937
0.2774	1.4290
0.2722	1.1102
0.2571	0.7893
0.2619	1.0058
0.2782	1.4007
0.2727	1.1425
0.2568	0.7778
0.2615	0.9145
0.2785	1.3755
0.2732	1.1543
0.2565	0.7878
0.2617	0.9247
0.2788	1.3672
0.2729	1.1707
0.2561	0.8025
0.2615	0.9613
0.2793	1.3700
0.2732	1.1482
0.2559	0.8367
0.2604	0.9315
0.2796	1.1477
0.2744	1.1380
0.2556	0.8498
0.2604	0.9918
0.2799	1.1868
0.2744	1.1230
0.2553	0.8442
0.2591	1.0390
0.2803	1.2462
0.2758	1.0963
0.2550	0.8410
0.2590	0.9570
0.2806	1.2855
0.2759	1.0818
0.2544	0.8635
0.2597	0.9990
0.2813	1.3415
0.2751	1.0455
0.2537	0.8507
0.2596	1.0593
0.2822	1.3830
0.2753	1.0095
0.2527	0.8520
0.2601	1.0367
0.2835	1.4215
0.2747	0.9793
0.2516	0.8603
0.2607	1.1352
0.2849	1.4602
0.2741	0.9690
0.2508	0.8372
0.2600	1.1173
0.2859	1.4708
0.2748	0.9740
0.2500	0.8347
0.2609	1.1155
0.2869	1.4585
0.2739	0.9865
0.2491	0.8388
0.2610	1.1265
0.2881	1.4455
0.2737	1.0207
0.2483	0.8398
0.2612	1.1078
0.2892	1.4015
0.2735	1.0543
0.2477	0.8960
0.2614	1.0783
0.2901	1.3698
0.2733	1.0872
0.2470	0.9198
0.2609	1.1203
0.2910	1.3678
0.2738	1.1037
0.2466	0.9293
0.2615	1.1345
0.2916	1.3518
0.2732	1.1273
0.2461	0.9518
0.2610	1.1240
0.2922	1.3710
0.2737	1.1373
0.2457	0.9657
0.2608	1.2330
0.2928	1.4103
0.2739	1.1342
0.2457	0.9777
0.2606	1.1693
0.2928	1.4440
0.2742	1.1235
0.2453	0.9830
0.2602	1.2112
0.2934	1.4878
0.2745	1.1028
0.2448	0.9803
0.2610	1.1682
0.2941	1.5318
0.2738	1.0800
0.2440	1.0040
0.2609	1.2180
0.2953	1.5587
0.2738	1.0435
0.2430	0.9775
0.2625	1.2085
0.2968	1.5968
0.2720	1.0145
0.2421	0.9242
0.2620	1.1970
0.2981	1.6090
0.2726	0.9925
0.2410	0.8975
0.2624	1.2002
0.2998	1.6277
0.2721	0.9853
0.2401	0.9040
0.2627	1.1362
0.3013	1.6197
0.2719	0.9905
0.2396	0.9115
0.2634	1.1448
0.3020	1.5795
0.2711	0.9950
0.2710	1.0148
0.2385	0.9030
0.2635	1.0290
0.3038	1.5272
0.2712	1.0523
0.2377	0.8978
0.2634	1.0675
0.3051	1.4630
0.2713	1.0718
0.2368	0.9060
0.2632	1.0425
0.3065	1.3965
0.2716	1.1063
0.2365	0.9172
0.2630	1.0713
0.3070	1.3492
0.2716	1.1458
0.2363	0.9120
0.2629	1.0482
0.3074	1.3145
0.2718	1.1667
0.2358	0.9390
0.2627	1.0610
0.3082	1.2800
0.2724	1.1732
0.2356	0.9535
0.2622	1.1003
0.3085	1.2620
0.2726	1.1763
0.2355	0.9502
0.2620	1.1128
0.3088	1.2450
0.2724	1.1715
0.2352	0.9365
0.2622	1.1208
0.3093	1.2423
0.2726	1.1647
0.2350	0.8963
0.2620	1.1447
0.3096	1.2323
0.2726	1.1438
0.2346	0.8835
0.2620	1.1350
0.3103	1.2248
0.2722	1.1127
0.2343	0.8790
0.2624	1.1350
0.3109	1.2308
0.2723	1.1048
0.2336	0.8682
0.2623	1.1360
0.3122	1.2615
0.2723	1.0793
0.2332	0.8725
0.2623	1.0990
0.3129	1.2595
0.2719	1.0558
0.2326	0.8527
0.2626	1.0720
0.3139	1.2520
0.2720	1.0482
0.2321	0.8513
0.2626	1.0803
0.3148	1.2648
0.2721	1.0475
0.2318	0.8560
0.2625	1.0593
0.3154	1.2580
