#rho	velocity
1.5410	0.4432
1.5891	0.3747
1.4071	0.3118
1.1708	0.3387
1.3479	0.4450
1.4006	0.3182
1.4155	0.3780
1.4168	0.0412
1.3284	0.2252
1.8068	0.3758
1.8183	0.3870
1.5627	0.3510
1.6037	0.3680
1.4262	0.4735
1.0847	0.4195
1.0758	0.5083
1.0376	0.4725
1.0743	0.4833
1.1560	0.5535
1.2093	0.5435
1.5418	0.4457
1.6082	0.3693
1.4027	0.2913
1.1732	0.3348
1.3580	0.4627
1.4150	0.3120
1.4176	0.3885
1.4009	0.0303
1.3283	0.2332
1.8042	0.3517
1.8119	0.3767
1.5629	0.3480
1.6021	0.3722
1.4294	0.4652
1.0838	0.4117
1.0724	0.4928
1.0357	0.4848
1.0747	0.4925
1.1567	0.5395
1.1996	0.5217
1.5608	0.4515
1.6206	0.3725
1.3916	0.2672
1.1725	0.3207
1.3599	0.4745
1.4313	0.3020
1.4248	0.3957
1.3873	0.0310
1.3221	0.2612
1.8046	0.3360
1.8167	0.3380
1.5515	0.3537
1.5960	0.4000
1.4314	0.4468
1.0821	0.3970
1.0637	0.4677
1.0351	0.4970
1.0817	0.5170
1.1563	0.5143
1.1993	0.5095
1.5663	0.4690
1.6136	0.3757
1.3832	0.2755
1.1724	0.3170
1.3659	0.4807
1.4401	0.2910
1.4324	0.3925
1.3786	0.0433
1.3148	0.2662
1.7974	0.3242
1.8225	0.3273
1.5511	0.3320
1.5988	0.3982
1.4271	0.4305
1.0778	0.3895
1.0705	0.4390
1.0362	0.5127
1.0766	0.5258
1.1550	0.4953
1.2080	0.4870
1.5708	0.4660
1.6239	0.3707
1.3822	0.2472
1.1721	0.3085
1.3602	0.4985
1.4538	0.2838
1.4459	0.3975
1.3669	0.0343
1.3105	0.2770
1.7948	0.3005
1.8167	0.2868
1.5476	0.3357
1.6040	0.3940
1.4285	0.4020
1.0739	0.3765
1.0671	0.4517
1.0371	0.5355
1.0775	0.5293
1.1551	0.4787
1.2077	0.4695
1.5847	0.4743
1.6275	0.4203
1.3587	0.2478
1.1724	0.3095
1.3744	0.5188
1.4640	0.2797
1.4431	0.4020
1.3580	0.0483
1.3084	0.3065
1.7916	0.2995
1.8260	0.2775
1.5415	0.3317
1.5976	0.4110
1.4216	0.3693
1.0714	0.3702
1.0721	0.4210
1.0370	0.5408
1.0750	0.5222
1.1604	0.4588
1.2122	0.4530
1.6068	0.4608
1.6285	0.3557
1.3435	0.2265
1.1734	0.2982
1.3758	0.4978
1.4718	0.2807
1.4472	0.4145
1.3501	0.0718
1.3115	0.3147
1.7876	0.2852
1.8167	0.2722
1.5392	0.3230
1.5939	0.4235
1.4208	0.3590
1.0681	0.3618
1.0688	0.4340
1.0407	0.5630
1.0782	0.5300
1.1587	0.4573
1.2157	0.4485
1.6238	0.4467
1.6277	0.3530
1.3260	0.2330
1.1758	0.2940
1.3796	0.4963
1.4765	0.2820
1.4569	0.4000
1.3423	0.0907
1.3211	0.3263
1.7852	0.2862
1.7825	0.2547
1.5407	0.3313
1.6064	0.4422
1.4193	0.3442
1.0620	0.3443
1.0641	0.4332
1.0438	0.5713
1.0804	0.4995
1.1579	0.4277
1.2213	0.4335
1.6313	0.4365
1.6472	0.3605
1.3284	0.2167
1.1773	0.2927
1.3829	0.4867
1.4805	0.2825
1.4570	0.3965
1.3369	0.0958
1.3214	0.3462
1.7915	0.2880
1.7757	0.2365
1.5337	0.3157
1.6075	0.4590
1.4236	0.3415
1.0578	0.3357
1.0564	0.4257
1.0464	0.5863
1.0853	0.5222
1.1539	0.4210
1.2130	0.4258
1.6468	0.4337
1.6411	0.3520
1.3166	0.2198
1.1780	0.3010
1.3853	0.4848
1.4916	0.2820
1.4575	0.3662
1.3266	0.1160
1.3344	0.3828
1.7881	0.3028
1.7504	0.2012
1.5421	0.3207
1.6128	0.4712
1.4142	0.3410
1.0521	0.3293
1.0523	0.4383
1.0506	0.6065
1.0896	0.5300
1.1532	0.4360
1.2200	0.4297
1.6566	0.4437
1.6470	0.3410
1.3074	0.2365
1.1790	0.2987
1.3917	0.4525
1.4977	0.2857
1.4549	0.3820
1.3227	0.1328
1.3387	0.3910
1.7860	0.2900
1.7342	0.1945
1.5446	0.3258
1.6250	0.5025
1.4055	0.3322
1.0460	0.3130
1.0529	0.4225
1.0556	0.6197
1.0905	0.5305
1.1519	0.4178
1.2190	0.4237
1.6618	0.4228
1.6385	0.3440
1.3035	0.2577
1.1780	0.3000
1.3894	0.4365
1.5040	0.2895
1.4589	0.3520
1.3218	0.1537
1.3435	0.4040
1.7800	0.3083
1.7178	0.1890
1.5455	0.3272
1.6344	0.5080
1.3994	0.3317
1.0385	0.2957
1.0508	0.4317
1.0589	0.6162
1.0939	0.5432
1.1557	0.4135
1.2269	0.4258
1.6724	0.4145
1.6522	0.3397
1.2966	0.2910
1.1758	0.3053
1.3965	0.4138
1.5142	0.2960
1.4554	0.3210
1.3160	0.1570
1.3475	0.4145
1.7757	0.3108
1.7008	0.1975
1.5452	0.3355
1.6476	0.5120
1.3959	0.3350
1.0314	0.2988
1.0489	0.4413
1.0668	0.6113
1.0974	0.5288
1.1512	0.3947
1.2229	0.4340
1.6821	0.3930
1.6496	0.2972
1.2871	0.2627
1.1752	0.3035
1.4005	0.4158
1.5220	0.3025
1.4533	0.3100
1.3092	0.1722
1.3539	0.4250
1.7797	0.3150
1.6858	0.1990
1.5388	0.3517
1.6644	0.5127
1.3936	0.3312
1.0226	0.2802
1.0488	0.4683
1.0730	0.6095
1.0994	0.5207
1.1509	0.3647
1.2274	0.4503
1.6841	0.3755
1.6513	0.3075
1.2878	0.2905
1.1773	0.3263
1.4055	0.4033
1.5275	0.3045
1.4391	0.3023
1.3005	0.2095
1.3760	0.4295
1.7833	0.3090
1.6544	0.2095
1.5380	0.3548
1.6805	0.5085
1.3899	0.3518
1.0135	0.2690
1.0466	0.4683
1.0751	0.6033
1.1013	0.5230
1.1557	0.3678
1.2308	0.4630
1.6961	0.3538
1.6502	0.2910
1.2834	0.2820
1.1760	0.3268
1.4015	0.4032
1.5327	0.3015
1.4394	0.2900
1.3024	0.2525
1.3793	0.4248
1.7690	0.3043
1.6414	0.2090
1.5385	0.3650
1.7005	0.5000
1.3860	0.3787
