#rho	velocity
1.6474	0.5150
1.6750	0.4375
1.9763	0.4125
1.6129	0.4000
1.4892	0.4225
1.6420	0.4425
1.8010	0.3600
1.6952	0.2537
1.4594	0.2410
1.9724	0.2953
2.1198	0.2180
1.6042	0.2715
1.8262	0.2905
2.0040	0.2902
1.7030	0.2585
1.6469	0.2320
1.6400	0.1955
1.8164	0.1633
1.8645	0.1598
2.0713	0.2417
1.7759	0.1995
1.4491	0.2117
1.6900	0.2225
1.7905	0.2500
1.6407	0.2300
1.7746	0.2725
2.2198	0.2700
2.8169	0.2600
2.8050	0.2675
1.9412	0.1950
1.9857	0.2400
3.1138	0.3085
2.2561	0.3230
1.4640	0.2737
1.2567	0.2845
1.3956	0.4100
1.6899	0.3917
1.4138	0.3653
1.5454	0.3522
2.1227	0.3815
2.0868	0.4047
1.8049	0.3688
1.5448	0.3067
1.4404	0.3575
1.3591	0.3412
1.5878	0.4807
1.9547	0.5360
1.6556	0.5100
1.6779	0.4350
1.9763	0.4100
1.6090	0.3975
1.4948	0.4325
1.6598	0.4400
1.8121	0.3425
1.6905	0.2490
1.4609	0.2487
1.9763	0.2998
2.1097	0.2190
1.6038	0.2822
1.8295	0.2877
2.0088	0.2785
1.7090	0.2623
1.6541	0.2292
1.6439	0.1963
1.8068	0.1520
1.8587	0.1500
2.0753	0.2405
1.7743	0.1892
1.4468	0.2188
1.6895	0.2262
1.7889	0.2575
1.6367	0.2250
1.7746	0.2750
2.2198	0.2750
2.8369	0.2800
2.8129	0.2700
1.9262	0.2000
1.9761	0.2500
3.1279	0.3097
2.2617	0.3185
1.4541	0.2743
1.2511	0.2970
1.3992	0.4258
1.6929	0.3812
1.4117	0.3585
1.5419	0.3550
2.1254	0.3892
2.1013	0.4045
1.8057	0.3715
1.5407	0.3052
1.4323	0.3640
1.3489	0.3493
1.5853	0.4835
1.9652	0.5255
1.6653	0.5025
1.6821	0.4350
1.9724	0.4025
1.6051	0.3950
1.5026	0.4375
1.6767	0.4350
1.8215	0.3225
1.6861	0.2460
1.4624	0.2560
1.9782	0.3020
2.1022	0.2175
1.6040	0.2890
1.8293	0.2840
2.0163	0.2697
1.7166	0.2635
1.6620	0.2237
1.6493	0.2008
1.7963	0.1430
1.8537	0.1408
2.0775	0.2413
1.7687	0.1805
1.4446	0.2243
1.6905	0.2365
1.7873	0.2650
1.6327	0.2200
1.7730	0.2800
2.2198	0.2775
2.8571	0.3000
2.8169	0.2725
1.9131	0.2050
1.9681	0.2600
3.1437	0.3135
2.2637	0.3120
1.4419	0.2785
1.2473	0.3085
1.4049	0.4440
1.6951	0.3723
1.4094	0.3512
1.5373	0.3578
2.1281	0.3945
2.1166	0.4042
1.8072	0.3713
1.5368	0.3032
1.4242	0.3670
1.3395	0.3592
1.5827	0.4895
1.9757	0.5088
1.6764	0.5000
1.6849	0.4350
1.9646	0.3975
1.6026	0.3950
1.5129	0.4450
1.6951	0.4350
1.8272	0.3050
1.6791	0.2442
1.4662	0.2655
1.9810	0.3062
2.0921	0.2182
1.6064	0.2960
1.8318	0.2767
2.0239	0.2590
1.7219	0.2683
1.6689	0.2210
1.6554	0.2012
1.7864	0.1343
1.8503	0.1317
2.0797	0.2365
1.7603	0.1720
1.4396	0.2297
1.6928	0.2415
1.7873	0.2750
1.6273	0.2200
1.7699	0.2825
2.2198	0.2825
2.8860	0.3175
2.8209	0.2775
1.9002	0.2100
1.9617	0.2675
3.1536	0.3202
2.2650	0.3078
1.4302	0.2775
1.2449	0.3163
