#rho	velocity
2.3563	0.1518
1.8247	0.0250
1.6113	0.2285
1.8263	0.1387
1.8357	0.1767
1.9461	0.1997
2.3733	0.1527
1.8165	0.0205
1.6050	0.2355
1.8371	0.1470
1.8344	0.1935
1.9372	0.2055
2.3881	0.1530
1.8088	0.0162
1.6018	0.2432
1.8420	0.1545
1.8262	0.2090
1.9367	0.2135
2.4038	0.1557
1.8012	0.0160
1.5932	0.2468
1.8469	0.1605
1.8280	0.2268
1.9385	0.2188
2.4225	0.1543
1.7957	0.0162
1.5857	0.2452
1.8450	0.1735
1.8250	0.2323
1.9489	0.2220
2.4420	0.1487
1.7912	0.0160
1.5770	0.2382
1.8404	0.1858
1.8190	0.2310
1.9641	0.2295
2.4649	0.1395
1.7879	0.0150
1.5668	0.2272
1.8344	0.1872
1.8164	0.2433
1.9822	0.2302
2.4869	0.1262
1.7836	0.0148
1.5570	0.2153
1.8297	0.1997
1.8118	0.2422
1.9998	0.2260
2.5069	0.1123
1.7787	0.0160
1.5481	0.2045
1.8257	0.1963
1.8091	0.2375
2.0169	0.2240
2.5240	0.0957
1.7729	0.0200
1.5382	0.1970
1.8290	0.1978
1.8067	0.2370
2.0245	0.2145
2.5365	0.0775
1.7669	0.0260
1.5278	0.1893
1.8312	0.2050
1.8067	0.2167
2.0313	0.2020
2.5465	0.0567
1.7604	0.0353
1.5209	0.1815
1.8263	0.1987
1.8059	0.2015
2.0454	0.1870
2.5526	0.0365
1.7524	0.0463
1.5122	0.1730
1.8238	0.1917
1.8088	0.1820
2.0572	0.1712
2.5589	0.0177
1.7432	0.0580
1.5067	0.1705
1.8247	0.1818
1.8096	0.1660
2.0644	0.1567
2.5625	0.0000
1.7327	0.0710
1.5011	0.1583
1.8182	0.1675
1.8139	0.1558
2.0797	0.1427
2.5615	-0.0143
1.7222	0.0855
1.4928	0.1518
1.8220	0.1550
1.8210	0.1487
2.0799	0.1215
2.5569	-0.0230
1.7116	0.1025
1.4904	0.1485
1.8210	0.1455
1.8242	0.1300
2.0844	0.1090
2.5497	-0.0243
1.7008	0.1205
1.4895	0.1382
1.8237	0.1275
1.8253	0.1158
2.0833	0.0977
2.5413	-0.0218
1.6871	0.1395
1.4910	0.1332
1.8287	0.1195
1.8257	0.1048
2.0855	0.0885
2.5320	-0.0155
1.6787	0.1580
1.4939	0.1320
1.8307	0.1145
1.8230	0.0865
2.0809	0.0810
2.5218	-0.0085
1.6690	0.1767
1.4960	0.1267
1.8332	0.0962
1.8288	0.0853
2.0809	0.0698
2.5104	-0.0023
1.6602	0.1955
1.5013	0.1272
1.8387	0.0923
1.8300	0.0792
2.0773	0.0653
2.4988	0.0032
1.6580	0.2132
1.5090	0.1350
1.8389	0.0865
1.8285	0.0850
2.0751	0.0662
2.4845	0.0075
1.6538	0.2297
1.5158	0.1408
1.8438	0.0832
1.8302	0.0885
2.0713	0.0600
2.4704	0.0105
1.6484	0.2443
1.5209	0.1622
1.8488	0.0838
1.8362	0.0925
2.0713	0.0660
2.4543	0.0115
1.6455	0.2555
1.5295	0.1925
1.8500	0.0750
1.8387	0.0955
2.0710	0.0707
2.4378	0.0120
1.6389	0.2627
1.5378	0.2215
1.8534	0.0770
1.8423	0.1002
2.0723	0.0780
2.4234	0.0123
1.6279	0.2685
1.5480	0.2585
1.8575	0.0785
1.8389	0.1055
2.0794	0.0838
2.4105	0.0112
1.6145	0.2720
1.5591	0.2873
1.8643	0.0790
1.8413	0.1153
2.0877	0.0910
2.3978	0.0113
1.5973	0.2747
1.5691	0.3110
1.8786	0.0750
1.8349	0.1243
2.0910	0.1025
2.3852	0.0148
1.5739	0.2750
1.5814	0.3348
1.9008	0.0782
1.8317	0.1382
2.0967	0.1197
2.3728	0.0213
1.5522	0.2743
1.5900	0.3480
1.9246	0.0777
1.8293	0.1525
2.1019	0.1235
2.3590	0.0300
1.5328	0.2743
1.6008	0.3525
1.9486	0.0857
1.8250	0.1652
2.1070	0.1258
2.3455	0.0418
1.5155	0.2745
1.6100	0.3518
1.9687	0.0933
1.8222	0.1758
2.1130	0.1390
2.3351	0.0545
1.5002	0.2765
1.6193	0.3497
1.9859	0.1012
1.8179	0.1910
2.1182	0.1395
2.3256	0.0642
1.4888	0.2782
1.6275	0.3305
1.9950	0.1177
1.8111	0.2020
2.1272	0.1508
2.3154	0.0697
1.4804	0.2805
1.6367	0.3118
1.9982	0.1272
1.8118	0.2138
2.1363	0.1555
2.3034	0.0730
1.4732	0.2805
1.6439	0.2913
1.9964	0.1365
1.8123	0.2200
2.1489	0.1592
2.2875	0.0763
1.4676	0.2808
1.6525	0.2760
1.9952	0.1505
1.8108	0.2238
2.1580	0.1675
2.2668	0.0805
1.4596	0.2790
1.6604	0.2605
1.9978	0.1678
1.8095	0.2243
2.1659	0.1690
2.2449	0.0877
1.4522	0.2758
1.6660	0.2425
1.9984	0.1772
1.8098	0.2153
2.1749	0.1663
2.2220	0.0967
1.4437	0.2700
1.6714	0.2365
2.0000	0.1865
1.8106	0.2035
2.1858	0.1735
2.1985	0.1068
1.4367	0.2613
1.6781	0.2298
2.0042	0.1953
1.8100	0.1850
2.1964	0.1765
2.1734	0.1133
1.4290	0.2510
1.6805	0.2252
2.0101	0.2050
1.8109	0.1663
2.2104	0.1788
2.1519	0.1215
1.4233	0.2385
1.6798	0.2125
2.0149	0.2087
1.8170	0.1462
2.2267	0.1753
2.1327	0.1323
1.4232	0.2253
1.6814	0.2003
2.0169	0.2063
1.8183	0.1260
2.2409	0.1695
2.1157	0.1450
1.4216	0.2127
1.6827	0.1890
2.0249	0.2020
1.8203	0.1035
2.2538	0.1653
2.1004	0.1553
1.4217	0.2017
1.6804	0.1783
2.0327	0.2043
1.8247	0.0860
2.2653	0.1608
2.0872	0.1665
1.4209	0.1910
1.6780	0.1643
2.0433	0.1967
1.8282	0.0728
2.2732	0.1503
2.0743	0.1755
1.4219	0.1812
1.6770	0.1542
2.0521	0.1837
1.8317	0.0645
2.2787	0.1423
2.0606	0.1815
1.4241	0.1727
1.6766	0.1500
2.0595	0.1750
1.8342	0.0650
2.2805	0.1330
2.0460	0.1865
1.4256	0.1655
1.6774	0.1405
2.0708	0.1615
1.8350	0.0623
2.2782	0.1245
2.0290	0.1888
1.4272	0.1582
1.6767	0.1235
2.0812	0.1440
1.8389	0.0607
2.2758	0.1143
2.0119	0.1922
1.4299	0.1500
1.6773	0.1010
2.0868	0.1215
1.8420	0.0565
2.2769	0.1022
1.9948	0.1945
1.4319	0.1422
1.6784	0.0867
2.0905	0.0955
1.8448	0.0520
2.2818	0.0920
1.9812	0.1972
1.4361	0.1355
1.6801	0.0790
2.0886	0.0723
1.8466	0.0515
2.2886	0.0825
1.9704	0.2008
1.4404	0.1305
1.6849	0.0650
2.0912	0.0548
1.8452	0.0598
2.2875	0.0730
1.9644	0.2080
1.4485	0.1262
1.6885	0.0560
2.0859	0.0340
1.8447	0.0702
2.2834	0.0670
1.9633	0.2152
1.4587	0.1243
1.6942	0.0430
2.0812	0.0188
1.8411	0.0752
2.2732	0.0638
1.9662	0.2245
1.4668	0.1230
1.7037	0.0375
2.0818	0.0090
1.8340	0.0692
2.2614	0.0625
1.9741	0.2333
1.4737	0.1238
1.7129	0.0335
2.0831	0.0025
1.8273	0.0682
2.2540	0.0618
1.9853	0.2402
1.4830	0.1285
1.7212	0.0277
2.0753	0.0045
1.8228	0.0740
2.2545	0.0625
1.9958	0.2467
1.4920	0.1380
1.7303	0.0350
2.0689	0.0062
1.8169	0.0865
2.2581	0.0645
2.0034	0.2502
1.5040	0.1523
1.7388	0.0470
2.0591	0.0085
1.8119	0.1015
2.2622	0.0673
2.0125	0.2555
1.5130	0.1683
1.7452	0.0540
2.0631	0.0185
1.8091	0.1215
2.2614	0.0702
2.0208	0.2655
1.5235	0.1853
1.7515	0.0687
2.0587	0.0260
1.8070	0.1395
2.2714	0.0725
2.0265	0.2835
1.5343	0.1990
1.7584	0.0867
2.0515	0.0333
1.8065	0.1512
2.2831	0.0740
2.0296	0.3083
1.5432	0.2110
1.7671	0.1005
2.0421	0.0348
1.8059	0.1550
2.2994	0.0738
2.0288	0.3388
1.5506	0.2200
1.7809	0.1155
2.0350	0.0355
1.8021	0.1648
2.3127	0.0727
2.0249	0.3678
1.5590	0.2287
1.7953	0.1302
2.0249	0.0380
1.7999	0.1805
2.3286	0.0733
2.0192	0.3898
1.5645	0.2370
1.8118	0.1428
2.0235	0.0353
1.7968	0.1853
2.3441	0.0750
2.0157	0.4055
1.5749	0.2410
1.8253	0.1535
2.0212	0.0370
1.7961	0.1888
2.3590	0.0780
2.0157	0.4153
1.5906	0.2405
1.8426	0.1555
2.0233	0.0392
1.7915	0.1777
2.3641	0.0813
2.0151	0.4240
1.6123	0.2347
1.8580	0.1495
2.0182	0.0415
1.7878	0.1707
2.3730	0.0862
2.0125	0.4300
1.6301	0.2260
1.8697	0.1340
2.0212	0.0515
1.7864	0.1623
2.3824	0.0928
2.0046	0.4275
1.6474	0.2158
1.8847	0.1058
2.0233	0.0605
1.7814	0.1528
2.3898	0.1000
1.9936	0.4130
1.6629	0.2065
1.8943	0.0743
2.0222	0.0657
1.7802	0.1403
2.4007	0.1068
1.9828	0.3867
1.6777	0.1990
1.9024	0.0418
2.0237	0.0820
1.7789	0.1343
2.4038	0.1113
1.9753	0.3517
1.6949	0.1932
1.9126	0.0155
2.0176	0.0998
1.7735	0.1248
2.4082	0.1145
1.9683	0.3135
1.7175	0.1878
1.9153	-0.0197
2.0020	0.1077
1.7735	0.1082
2.4137	0.1140
1.9623	0.2765
1.7396	0.1810
1.9198	-0.0455
1.9857	0.1290
1.7716	0.0913
2.4178	0.1110
1.9577	0.2410
1.7630	0.1730
1.9242	-0.0660
1.9687	0.1418
1.7701	0.0715
2.4146	0.1058
1.9527	0.2108
1.7867	0.1638
1.9257	-0.0782
1.9503	0.1560
1.7729	0.0577
2.4096	0.0965
1.9467	0.1830
1.8083	0.1570
1.9249	-0.0815
1.9329	0.1790
1.7784	0.0472
2.4056	0.0842
1.9395	0.1575
1.8288	0.1505
1.9273	-0.0682
1.9218	0.1897
1.7824	0.0312
2.3906	0.0702
1.9324	0.1393
1.8430	0.1460
1.9223	-0.0487
1.9172	0.2077
1.7929	0.0150
2.3711	0.0557
1.9253	0.1265
1.8520	0.1428
1.9170	-0.0307
1.9157	0.2207
1.8033	0.0030
2.3538	0.0420
1.9207	0.1175
1.8579	0.1390
1.9080	-0.0067
1.9181	0.2288
1.8174	-0.0123
2.3384	0.0290
1.9183	0.1135
1.8619	0.1343
1.8966	0.0157
1.9179	0.2370
1.8352	-0.0277
2.3264	0.0180
1.9179	0.1125
1.8619	0.1295
1.8870	0.0395
1.9253	0.2460
1.8520	-0.0345
2.3087	0.0107
1.9175	0.1170
1.8613	0.1240
1.8753	0.0590
1.9367	0.2488
1.8725	-0.0365
2.2857	0.0070
1.9188	0.1272
1.8665	0.1200
1.8681	0.0730
1.9429	0.2482
1.8896	-0.0318
2.2635	0.0060
1.9222	0.1390
1.8697	0.1180
1.8613	0.0893
1.9545	0.2472
1.9080	-0.0227
1.9260	0.1528
1.8746	0.1153
1.8517	0.1050
1.9660	0.2330
1.9286	-0.0120
1.9318	0.1627
1.8790	0.1142
1.8445	0.1120
1.9780	0.2258
1.9455	0.0028
1.9412	0.1670
1.8832	0.1138
1.8344	0.1115
1.9900	0.2098
1.9631	0.0240
1.9516	0.1675
1.8900	0.1117
1.8272	0.1245
1.9958	0.2003
1.9759	0.0423
1.9610	0.1660
1.8929	0.1108
1.8183	0.1285
2.0042	0.1917
1.9902	0.0653
1.9689	0.1622
1.8956	0.1120
1.8155	0.1325
2.0080	0.1782
1.9972	0.0802
1.9737	0.1585
1.8977	0.1150
1.8108	0.1322
2.0098	0.1650
2.0088	0.1002
1.9777	0.1558
1.9006	0.1225
1.8101	0.1292
2.0046	0.1532
2.0176	0.1135
1.9833	0.1545
1.8970	0.1315
1.8083	0.1348
2.0070	0.1417
2.0268	0.1180
1.9910	0.1560
1.8963	0.1435
1.8068	0.1305
2.0040	0.1267
2.0367	0.1217
1.9966	0.1608
1.8957	0.1572
1.8073	0.1260
2.0072	0.1210
2.0435	0.1130
1.9990	0.1660
1.8977	0.1703
1.8111	0.1250
2.0034	0.1123
2.0477	0.0990
1.9956	0.1710
1.9022	0.1825
1.8139	0.1307
2.0026	0.1067
2.0551	0.0817
1.9885	0.1710
1.9042	0.1952
1.8203	0.1285
2.0092	0.1020
2.0572	0.0660
1.9782	0.1720
1.9113	0.2053
1.8295	0.1390
2.0113	0.0972
2.0576	0.0528
1.9654	0.1710
1.9209	0.2120
1.8398	0.1470
2.0186	0.0918
2.0576	0.0453
1.9501	0.1688
1.9277	0.2153
1.8496	0.1603
2.0311	0.0865
2.0566	0.0308
1.9346	0.1630
1.9301	0.2137
1.8612	0.1720
2.0448	0.0803
2.0528	0.0280
1.9209	0.1582
1.9281	0.2095
1.8714	0.1753
2.0587	0.0785
2.0444	0.0275
1.7519	0.1067
1.9109	0.1550
1.9203	0.2010
1.8802	0.1845
2.0758	0.0730
2.0298	0.0198
1.7598	0.1193
1.9040	0.1505
1.9131	0.1898
1.8895	0.1902
2.0927	0.0683
2.0044	0.0173
1.7669	0.1327
1.9002	0.1495
1.9039	0.1775
1.8997	0.1933
2.1130	0.0665
1.9697	0.0185
1.7740	0.1437
1.8999	0.1497
1.8957	0.1635
1.9062	0.1945
2.1252	0.0665
1.9369	0.0205
1.7787	0.1530
1.9022	0.1545
1.8920	0.1508
1.9115	0.1987
2.1361	0.0633
1.9060	0.0220
1.7798	0.1615
1.9071	0.1575
1.8900	0.1400
1.9194	0.1892
2.1540	0.0640
1.8815	0.0200
1.7790	0.1703
1.9124	0.1617
1.8920	0.1315
1.9259	0.1838
2.1701	0.0645
1.8631	0.0223
1.7770	0.1820
1.9166	0.1667
1.8957	0.1260
1.9288	0.1700
2.1863	0.0648
1.8515	0.0243
1.7754	0.1935
1.9199	0.1715
1.8974	0.1233
1.9309	0.1590
2.2014	0.0660
1.8430	0.0215
1.7743	0.2045
1.9225	0.1717
1.8957	0.1227
1.9348	0.1485
2.2202	0.0672
1.8354	0.0222
1.7737	0.2150
1.9268	0.1685
1.8972	0.1237
1.9355	0.1375
2.2326	0.0750
1.8322	0.0310
1.7726	0.2270
1.9326	0.1640
1.8972	0.1300
1.9385	0.1315
2.2444	0.0830
1.8292	0.0387
1.7699	0.2422
1.9416	0.1610
1.9015	0.1330
1.9450	0.1275
2.2517	0.0910
1.8237	0.0517
1.7663	0.2582
1.9520	0.1610
1.9048	0.1338
1.9487	0.1177
2.2571	0.0955
1.8203	0.0565
1.7627	0.2730
1.9633	0.1650
1.9088	0.1362
1.9529	0.1053
2.2578	0.1015
1.8179	0.0622
1.7596	0.2840
1.9759	0.1688
1.9124	0.1345
1.9560	0.0993
2.2576	0.1012
1.8167	0.0727
1.7565	0.2892
1.9861	0.1750
1.9155	0.1325
1.9614	0.0857
2.2612	0.1033
1.8164	0.0775
1.7528	0.2862
2.0004	0.1830
1.9201	0.1265
1.9606	0.0835
2.2612	0.1118
1.8195	0.0923
1.7505	0.2707
2.0163	0.1927
1.9290	0.1177
1.9598	0.0750
2.2624	0.1175
1.8205	0.1023
1.7481	0.2445
2.0292	0.2015
1.9397	0.1123
1.9612	0.0727
2.2635	0.1238
1.8208	0.1148
1.7475	0.2117
2.0446	0.2077
1.9486	0.1040
1.9608	0.0653
2.2594	0.1365
1.8197	0.1307
1.7454	0.1770
2.0572	0.2127
1.9637	0.0992
1.9608	0.0580
2.2528	0.1443
1.8179	0.1480
1.7419	0.1433
2.0700	0.2170
1.9763	0.0950
1.9562	0.0492
2.2429	0.1477
1.8172	0.1610
1.7384	0.1143
2.0760	0.2178
1.9942	0.0987
1.9489	0.0445
2.2297	0.1485
1.8170	0.1775
1.7358	0.0905
2.0708	0.2147
2.0074	0.0960
1.9442	0.0382
