#rho	velocity
0.1957	1.1405
0.2326	1.2387
0.2887	1.2492
0.2730	0.9795
0.1854	1.1765
0.1954	1.1203
0.2332	1.2295
0.2887	1.2555
0.2725	0.9860
0.1854	1.1555
0.1853	1.1510
0.1954	1.0953
0.2334	1.2070
0.2889	1.2542
0.2724	1.0292
0.1851	1.1287
0.1954	1.1193
0.2334	1.1630
0.2894	1.2640
0.2726	1.0093
0.1850	1.1168
0.1950	1.0888
0.2332	1.1632
0.2902	1.2732
0.2730	1.0637
0.1853	1.1253
0.1952	1.1325
0.2335	1.1495
0.2898	1.2473
0.2720	1.0548
0.1853	1.0897
0.1949	1.1478
0.2334	1.1180
0.2902	1.2220
0.2723	1.0550
0.1853	1.1070
0.1949	1.1355
0.2335	1.1180
0.2903	1.2310
0.2721	1.0520
0.1854	1.1522
0.1950	1.1403
0.2334	1.1178
0.2904	1.2400
0.2717	1.0070
0.1853	1.1518
0.1947	1.1495
0.2334	1.1433
0.2908	1.2392
0.2723	1.0100
0.1852	1.1425
0.1949	1.0990
0.2336	1.1742
0.2907	1.2205
0.2718	1.0410
0.1852	1.1562
0.1949	1.1318
0.2339	1.2080
0.2910	1.2588
0.2712	1.0495
0.1852	1.1610
0.1947	1.1142
0.2342	1.2280
0.2910	1.2590
0.2711	1.0415
0.1853	1.1555
0.1946	1.1075
0.2346	1.2240
0.2908	1.2787
0.2707	1.0385
0.1851	1.1867
0.1943	1.1255
0.2346	1.2328
0.2917	1.2585
0.2710	1.0298
0.1851	1.1922
0.1943	1.1215
0.2349	1.2023
0.2912	1.2780
0.2711	1.0288
0.1849	1.1972
0.1940	1.1330
0.2352	1.2480
0.2920	1.2688
0.2711	1.0567
0.1848	1.2260
0.1938	1.1203
0.2356	1.1985
0.2920	1.2475
0.2711	1.0800
0.1850	1.2055
0.1937	1.1423
0.2354	1.2035
0.2925	1.2888
0.2707	1.0877
0.1849	1.2188
0.1937	1.1700
0.2357	1.1932
0.2920	1.2383
0.2708	1.0720
0.1851	1.2205
0.1937	1.1837
0.2356	1.1885
0.2922	1.2687
0.2704	1.0675
0.1849	1.1997
0.1939	1.1877
0.2360	1.2143
0.2922	1.2628
0.2701	1.0585
0.1854	1.2122
0.1937	1.2102
0.2355	1.1880
0.2913	1.2672
0.2705	1.0650
0.1853	1.2148
0.1935	1.2063
0.2359	1.2418
0.2923	1.2510
0.2699	1.0670
0.1852	1.1860
0.1938	1.2393
0.2360	1.2723
0.2920	1.2720
0.2696	1.0670
0.1853	1.2058
0.1937	1.2322
0.2363	1.3425
0.2920	1.2988
0.2694	1.0457
0.1848	1.2110
0.1934	1.2455
0.2369	1.2967
0.2930	1.2983
0.2692	1.0297
0.1850	1.1720
0.1934	1.2580
0.2369	1.3563
0.2929	1.3320
0.2689	1.0195
0.1848	1.1772
0.1933	1.2695
0.2374	1.3210
0.2932	1.2577
0.2687	1.0170
0.1844	1.1840
0.1934	1.3013
0.2380	1.3260
0.2935	1.3142
0.2683	1.0010
0.1842	1.1818
0.1932	1.2973
0.2389	1.3207
0.2938	1.2833
0.2677	0.9882
0.1843	1.2173
0.1935	1.3128
0.2390	1.2600
0.2937	1.2430
0.2669	0.9813
0.1842	1.2055
0.1932	1.3258
0.2393	1.2810
0.2941	1.2432
0.2671	0.9825
0.1843	1.1977
0.1936	1.3585
0.2393	1.2660
0.2936	1.2398
0.2662	0.9623
0.1843	1.2032
0.1937	1.3548
0.2396	1.2162
0.2943	1.2018
0.2653	0.9235
0.1843	1.1838
0.1938	1.3577
0.2400	1.1913
0.2937	1.1770
0.2650	0.9468
0.1845	1.1887
0.1939	1.3275
0.2401	1.2157
0.2935	1.1967
0.2644	0.9490
0.1845	1.1938
0.1940	1.3313
0.2403	1.2155
0.2936	1.1817
0.2641	0.9150
0.1843	1.1938
0.1942	1.3187
0.2408	1.2655
0.2939	1.2012
0.2631	0.9205
0.1843	1.1987
0.1946	1.2777
0.2413	1.2617
0.2934	1.1823
0.2623	0.9050
0.1842	1.1890
0.1945	1.3155
0.2417	1.2805
0.2937	1.1857
0.2620	0.8995
0.1841	1.1842
0.1944	1.2940
0.2421	1.3350
0.2938	1.1865
0.2617	0.9117
0.1840	1.1838
0.1943	1.3350
0.2428	1.3445
0.2939	1.1900
0.2613	0.8610
0.1838	1.2082
0.1945	1.3535
0.2433	1.3555
0.2938	1.2030
0.2607	0.8682
0.1838	1.2228
0.1944	1.3455
0.2438	1.3253
0.2940	1.2295
0.2601	0.8777
0.1837	1.2375
