#rho	velocity
0.2962	1.2702
0.5232	1.3213
0.6696	1.1795
0.6319	1.2593
0.4910	1.1623
0.5633	1.3220
0.7897	1.2933
0.4711	1.2115
0.3580	1.2135
0.2798	1.2577
0.2962	1.2660
0.5259	1.3053
0.6717	1.2372
0.6311	1.2360
0.4925	1.1813
0.5670	1.2988
0.7743	1.2513
0.4709	1.2193
0.3600	1.1650
0.2784	1.2977
0.2956	1.2707
0.5239	1.2943
0.6758	1.2922
0.6299	1.1895
0.4907	1.2225
0.5660	1.2617
0.7767	1.2645
0.4721	1.2155
0.3602	1.1585
0.2790	1.3220
0.2958	1.2983
0.5266	1.3230
0.6737	1.3203
0.6319	1.1722
0.4905	1.2015
0.5650	1.2568
0.7810	1.3250
0.4719	1.2190
0.3596	1.2365
0.2782	1.3245
0.2957	1.2985
0.5251	1.3383
0.6743	1.3477
0.6335	1.1905
0.4898	1.2400
0.5661	1.2717
0.7864	1.3152
0.4710	1.1843
0.3588	1.2255
0.2783	1.3377
0.2960	1.3185
0.5250	1.3373
0.6761	1.3503
0.6330	1.1942
0.4889	1.2310
0.5666	1.2515
0.7863	1.3125
0.4709	1.2215
0.3583	1.2487
0.2784	1.3445
0.2956	1.3257
0.5251	1.2853
0.6774	1.3532
0.6339	1.1258
0.4904	1.2605
0.5639	1.2117
0.7909	1.3850
0.4693	1.2237
0.3569	1.1600
0.2794	1.3410
0.2797	1.3717
0.2950	1.3202
0.5273	1.3073
0.6805	1.3420
0.6326	1.1223
0.4894	1.2820
0.5636	1.2115
0.7953	1.3710
0.4677	1.2207
0.3565	1.1633
0.2797	1.3878
0.2952	1.3253
0.5290	1.3170
0.6824	1.3917
0.6297	1.0977
0.4874	1.2385
0.5649	1.2513
0.7936	1.3660
0.4672	1.2185
0.3570	1.1820
0.2796	1.3715
0.2949	1.3297
0.5304	1.3680
0.6803	1.3508
0.6281	1.0977
0.4893	1.2498
0.5673	1.2310
0.7973	1.3540
0.4654	1.2375
0.3564	1.2197
0.2800	1.3628
0.2957	1.3300
0.5311	1.3743
0.6805	1.3613
0.6274	1.0772
0.4871	1.2595
0.5652	1.2243
0.7978	1.3777
0.4657	1.2098
0.3562	1.2200
0.2793	1.3030
0.2957	1.3190
0.5348	1.4207
0.6802	1.3667
0.6243	1.0827
0.4865	1.2305
0.5662	1.2595
0.8022	1.3975
0.4658	1.2095
0.3557	1.2895
0.2800	1.2460
0.2952	1.3190
0.5343	1.4187
0.6813	1.3465
0.6229	1.0795
0.4864	1.2288
0.5654	1.2413
0.8026	1.3720
0.4655	1.2000
0.3562	1.3167
0.2793	1.2757
0.2946	1.2818
0.5391	1.4550
0.6879	1.3425
0.6198	1.1140
0.4844	1.2293
0.5671	1.2310
0.8041	1.3708
0.4645	1.1843
0.3560	1.2577
0.2784	1.2680
0.2954	1.3045
0.5405	1.4715
0.6836	1.3583
0.6230	1.1155
0.4848	1.2105
0.5656	1.1930
0.8034	1.3663
0.4652	1.2162
0.3560	1.2605
0.2782	1.2330
0.2955	1.3192
0.5419	1.4485
0.6856	1.3875
0.6214	1.1357
0.4833	1.2395
0.5675	1.1805
0.8063	1.4058
0.4642	1.1835
0.3555	1.3013
0.2776	1.2550
0.2948	1.3237
0.5444	1.4365
0.6901	1.3570
0.6200	1.1905
0.4825	1.2173
0.5671	1.1405
0.8046	1.3585
0.4652	1.2060
0.3561	1.2573
0.2770	1.2280
0.2946	1.3418
0.5469	1.4797
0.6916	1.3830
0.6199	1.1605
0.4826	1.1930
0.5662	1.1607
0.8024	1.3448
0.4657	1.1780
0.3564	1.3247
0.2769	1.2237
0.2942	1.3488
0.5488	1.3817
0.6931	1.3620
0.6206	1.1755
0.4808	1.2332
0.5679	1.1535
0.8081	1.3420
0.4632	1.1725
0.3564	1.2772
0.2765	1.2248
0.2940	1.3393
0.5512	1.3983
0.6943	1.3813
0.6220	1.1605
0.4819	1.2500
0.5658	1.1735
0.8109	1.3765
0.4632	1.1702
0.3552	1.3190
0.2766	1.2347
0.2945	1.3100
0.5494	1.3928
0.6945	1.3652
0.6239	1.1788
0.4794	1.2902
0.5650	1.1457
0.8113	1.3435
0.4636	1.1807
0.3558	1.3392
0.2765	1.2517
0.2951	1.3017
0.5493	1.3715
0.6934	1.3155
0.6283	1.1900
0.4799	1.2905
0.5620	1.1468
0.8155	1.3668
0.4637	1.1670
0.3541	1.3103
0.2762	1.2692
0.2945	1.2920
0.5532	1.3635
0.6994	1.3325
0.6229	1.2180
0.4794	1.2705
0.5643	1.1672
0.8052	1.4198
0.4633	1.1490
0.3557	1.2658
0.2769	1.2247
0.2944	1.2905
0.5513	1.3730
0.7003	1.2967
0.6215	1.2200
0.4794	1.2610
0.5659	1.1557
0.8125	1.3855
0.4623	1.1860
0.3542	1.3030
0.2757	1.2175
0.2946	1.3210
0.5547	1.3375
0.6961	1.2542
0.6220	1.2547
0.4789	1.2410
0.5659	1.2033
0.8109	1.3977
0.4628	1.1448
0.3555	1.3268
0.2758	1.2380
0.2945	1.3065
0.5548	1.4010
0.6927	1.3245
0.6239	1.1945
0.4808	1.2697
0.5653	1.1857
0.8068	1.3540
0.4619	1.1508
0.3563	1.2250
0.2757	1.2387
0.2945	1.2938
0.5554	1.3958
0.6925	1.3422
0.6234	1.2193
0.4789	1.2230
0.5658	1.2348
0.8120	1.3720
0.4616	1.1605
0.3564	1.2747
0.2756	1.2570
0.2938	1.2955
0.5557	1.3630
0.6975	1.3457
0.6238	1.2540
0.4757	1.2750
0.5674	1.2050
0.8227	1.3865
0.4605	1.1510
0.3558	1.1978
0.2746	1.2422
0.2941	1.2887
0.5581	1.4005
0.6966	1.3130
0.6256	1.2740
0.4751	1.2655
0.5659	1.1718
0.8190	1.3603
0.4616	1.1362
0.3567	1.2135
0.2747	1.2715
0.2952	1.3085
0.5563	1.3230
0.6955	1.3442
0.6261	1.2640
0.4748	1.2270
0.5696	1.1710
0.8204	1.3135
0.4601	1.1225
0.3554	1.1902
0.2742	1.2717
0.2942	1.2990
0.5621	1.3430
0.6998	1.3555
0.6246	1.2387
0.4755	1.2020
0.5672	1.2035
0.8286	1.3408
0.4599	1.1450
0.3537	1.1613
0.2741	1.2725
0.2943	1.3183
0.5602	1.3643
0.7051	1.3782
0.6270	1.2438
0.4732	1.2110
0.5668	1.1930
0.8286	1.3547
0.4603	1.1007
0.3536	1.1500
0.2745	1.3068
0.2936	1.3173
0.5599	1.3865
0.7064	1.3795
0.6267	1.2485
0.4743	1.2352
0.5677	1.2035
0.8304	1.2785
0.4588	1.0702
0.3533	1.2170
0.2745	1.3065
0.2940	1.3082
0.5591	1.3508
0.7050	1.3925
0.6295	1.2233
0.4751	1.2348
0.5681	1.2090
0.8324	1.2690
0.4578	1.1632
0.3523	1.1565
0.2750	1.3063
0.2940	1.2602
0.5584	1.3928
0.7076	1.3900
0.6293	1.1970
0.4750	1.2482
0.5690	1.2237
0.8274	1.2920
0.4565	1.2357
0.3525	1.1773
0.2747	1.2915
0.2935	1.2743
0.5613	1.3945
0.7077	1.3360
0.6267	1.2583
0.4745	1.2440
0.5691	1.2633
0.8309	1.2852
0.4566	1.2070
0.3528	1.2023
0.2743	1.2838
0.2935	1.2718
0.5629	1.3908
0.7089	1.3045
0.6274	1.2135
0.4724	1.2633
0.5718	1.2237
