#rho	velocity
1.7949	0.2193
1.8615	0.2304
1.9023	0.2451
1.9130	0.2618
1.9011	0.2564
1.8198	0.2577
1.7090	0.2203
1.6802	0.2008
1.6923	0.2101
1.7722	0.2212
1.8175	0.2370
1.8132	0.2513
1.7516	0.2564
1.6749	0.2119
1.6570	0.2146
1.6535	0.2033
1.6402	0.2101
1.6083	0.2242
1.5923	0.2525
1.5777	0.2525
1.5135	0.2451
1.4227	0.2688
1.3642	0.2890
1.3461	0.2793
1.4122	0.2994
1.5468	0.2618
1.6793	0.2283
1.7210	0.2294
1.6971	0.2222
1.6628	0.2008
1.6432	0.2000
1.7886	0.1931
1.8896	0.1812
1.9574	0.1946
1.9747	0.2041
1.9164	0.1873
1.7996	0.2174
1.7353	0.2174
1.7085	0.2193
1.7088	0.2283
1.7388	0.2137
1.7818	0.2110
1.7833	0.2232
1.7352	0.2128
0.9071	0.7812
0.9103	0.8772
0.8595	0.8772
0.7213	0.8929
0.6455	0.9091
0.7193	0.9259
0.7091	0.9434
0.6231	0.9615
0.6237	0.9259
0.6937	0.9259
0.8244	0.9091
0.9070	0.9434
0.8432	0.8621
0.7754	0.9434
0.7877	0.9259
0.8501	0.8929
0.8639	0.8333
0.8511	0.8197
0.7998	0.8475
0.7688	0.8621
0.8034	0.8621
0.7552	0.9091
0.5886	0.9615
0.5593	0.9615
0.6997	0.9259
0.8436	0.8929
0.9122	0.9091
0.8621	0.8772
1.0115	0.5882
1.1363	0.5618
1.1874	0.5155
1.1793	0.4717
1.1573	0.4902
1.1193	0.5263
1.0987	0.5682
1.1369	0.5682
1.1605	0.5682
1.1349	0.5952
1.0627	0.5952
0.9872	0.6024
0.9211	0.5952
0.9985	0.5814
1.0892	0.5435
1.1085	0.5376
1.0776	0.5682
1.0215	0.6250
0.9255	0.6250
0.8704	0.6024
1.0203	0.5882
1.1170	0.5319
1.1614	0.4950
1.1433	0.4545
1.1180	0.4167
1.0975	0.4673
1.1089	0.5102
1.1381	0.5102
1.1287	0.5208
1.0637	0.5102
0.9689	0.5747
0.8567	0.6329
0.8473	0.5747
0.9948	0.5952
1.1113	0.5952
1.1591	0.5882
1.1650	0.5814
1.1208	0.5814
1.0445	0.5747
1.0107	0.6098
1.0793	0.5952
1.1020	0.5495
1.4088	0.3125
1.4657	0.2959
1.4503	0.2874
1.4115	0.2646
1.3861	0.3268
1.4383	0.3145
1.4991	0.3546
1.5356	0.3676
1.5161	0.3759
1.4398	0.3731
1.3555	0.3704
1.3356	0.3623
1.3359	0.4065
1.3024	0.3876
1.3654	0.3497
1.4566	0.3521
1.4570	0.3125
1.4363	0.2604
1.4164	0.3049
1.4137	0.3356
1.3272	0.3788
1.2377	0.3846
1.2105	0.4000
1.1820	0.3759
1.1870	0.3937
1.2863	0.3731
1.3556	0.3650
1.4060	0.3546
1.4085	0.3472
1.3738	0.3268
1.3871	0.3030
1.4921	0.3311
