#rho	velocity
1.0047	0.8333
1.0294	0.8333
1.0274	0.8333
1.0390	0.8475
1.0261	0.9259
1.0245	0.7353
1.0850	0.7937
1.0258	0.8197
0.9848	0.8065
1.0324	0.8621
0.9885	0.9091
0.9563	0.8065
0.9822	0.8065
1.1301	0.7463
1.2344	0.7937
1.2063	0.8333
1.0731	0.8197
0.9972	0.7812
1.0072	0.9259
0.9811	0.7937
0.9802	0.8197
1.0625	0.7937
1.1176	0.8475
1.1027	0.8929
1.0343	0.8772
1.0098	0.6944
1.1337	0.7692
0.8179	0.9804
0.8769	1.1364
0.8900	1.0870
0.8222	1.0638
0.8020	1.0417
0.7653	1.1111
0.8780	0.9259
1.0509	1.0417
1.0386	0.9804
0.9643	1.0204
1.0502	0.9804
1.1261	0.9804
1.0658	1.0204
0.9244	0.9434
0.8092	1.0204
0.8237	1.0000
0.9477	1.0204
1.0000	1.0204
0.9279	1.0417
0.8075	1.0870
0.7777	1.1111
0.9061	0.6329
0.9870	0.6849
1.0426	1.0417
1.0005	0.9804
1.0515	0.9091
1.1135	0.9434
1.0623	0.9434
0.8874	1.0204
0.8463	1.1364
0.9027	0.9615
0.9880	1.0417
0.9466	1.0638
0.8564	1.0417
